id_imdb,type,name,release_year,release_month,genre
tt31079401,Movie,Mandya Haida,2024,2,Action
tt31093131,Movie,Fast Atlanta,2024,4,Action
tt31115532,Movie,Malditos fantasmas,2024,10,Action
tt31122323,Movie,Megamind och Undergångssyndikatet,2024,3,Action
tt31149938,Movie,E-mail,2024,2,Action
tt31152127,Movie,Desperado,2024,1,Action
tt31152166,Movie,Kizumonogatari: Koyomi Vamp,2024,1,Action
tt31152181,Movie,Rooban,2024,4,Action
tt31159130,Movie,Crypto Storm,2024,1,Action
tt31169791,Movie,Wayward,2024,12,Action
tt31171309,Movie,The Queens Ball,2024,5,Action
tt31194647,Movie,Tal Matal,2024,2,Action
tt31215789,Movie,Pikmin Forever,2024,1,Action
tt31216055,Movie,Ajay Gadu,2024,1,Action
tt31241468,Movie,The One and Only: Spider-Man,2024,5,Action
tt31250810,Movie,ChickenMan,2024,1,Action
tt31258919,Movie,Zakhvat,2024,2,Action
tt31261135,Movie,Happy Dragons,2024,2,Action
tt31306866,Movie,I Heart Robots,2024,none,Action
tt31308511,Movie,Koresha,2024,10,Action
tt31311119,Movie,Jurassic Exorcist,2024,9,Action
tt31313928,Movie,RedSin: Martyrs of Dissent,2024,2,Action
tt31315486,Movie,Janna Endoro,2024,2,Action
tt31321746,Movie,Enimey Nangadha Head Lines,2024,4,Action
tt31383416,Movie,Oversteer,2024,1,Action
tt31389264,Movie,In the Woods,2024,,Action
tt31389684,Movie,Bharkhama,2024,7,Action
tt31383093,Movie,Taxi Bosses,2024,1,Action
tt31408607,Movie,Jimmy's Friends,2024,3,Action
tt31435118,Movie,2032: Pako Varissuolta,2024,2,Action
tt31450653,Movie,Miles Morales: A New Hero,2024,,Action
tt31451138,Movie,Beyond: Part One,2024,10,Action
tt31457736,Movie,Kingudamu Daishôgun no Kikan,2024,7,Action
tt31456573,Movie,Too Little Too Late,2024,2,Action
tt31462825,Movie,Raja 420,2024,4,Action
tt31492821,Movie,Zen Fist,2024,2,Action
tt31494700,Movie,Mo lu kuang dao,2024,3,Action
tt31495280,Movie,Marni: The Story of Wewe Gombel,2024,6,Action
tt31511073,Movie,The Brofessors Return,2024,3,Action
tt31513054,Movie,Half Moon Bay,2024,7,Action
tt31521633,Movie,Sicarius,2024,3,Action
tt31523052,Movie,The Grey Man,2024,2,Action
tt31530596,Movie,Snow White and the Seven Samurai,2024,3,Action
tt31545409,Movie,Another Space: Part One,2024,10,Action
tt31546944,Movie,A Lonely Place to Die,2024,3,Action
tt31583554,Movie,Pakal Iravu,2024,,Action
tt31591241,Movie,Rang De Basanti,2024,6,Action
tt31597833,Movie,Holy Punch,2024,3,Action
tt31608769,Movie,Dora du Gaza,2024,4,Action
tt31614338,Movie,Vakoojakoulun Varamiehet,2024,3,Action
tt31974038,Short,Terrorism,2024,none,Action
tt31974203,Short,Keep Going,2024,3,Action
tt31987687,Short,LU BY LU - Get the bag split the profit,2024,3,Action
tt31988136,Short,Alone in Fear,2024,4,Action
tt32045624,Short,Kukini,2024,3,Action
tt32056129,Short,Cuentos tengo cientos,2024,4,Action
tt32056426,Short,El Clásico,2024,4,Action
tt32063115,Short,Nebunul,2024,9,Action
tt32078973,Short,V.A.I.L.D.,2024,7,Action
tt32085804,Short,Project Re: Fate,2024,8,Action
tt32084772,Short,"Tranquil Waters, Boundless Skies",2024,4,Action
tt32096172,Short,The Silencer,2024,4,Action
tt32103554,Short,Kings of Triad: Uprising,2024,3,Action
tt31369950,Short,Broken Promises - A Vengeance Story,2024,2,Action
tt31727048,Short,Tryouts,2024,3,Action
tt31728961,Short,The Dark Would,2024,6,Action
tt31778427,Short,The Last Stand,2024,3,Action
tt31869296,Short,The Creature from Epping Forest 2: Born to Be Wild,2024,3,Action
tt31889734,Short,O Assaltante Inexperiente,2024,3,Action
tt31896876,Short,007 - Codename: Bond,2024,4,Action
tt32033892,Short,BEATING Video Games IN REAL LIFE!,2024,4,Action
tt32034672,Short,Arktus,2024,4,Action
tt32126678,Short,Dragonball Z in 5 Minutes (The Complete Series) Live Action,2024,2,Action
tt32128367,Short,Chhaya,2024,none,Action
tt32131959,Short,The Four Empires Legends: Cobalt Sharks,2024,3,Action
tt32132459,Short,The Four Empires Legends: Golden Bears,2024,1,Action
tt32133317,Short,The Four Empire Legends: Showdown,2024,3,Action
tt32133543,Short,Swindler's Ring,2024,,Action
tt32133560,Short,Rebirth of the Guardian,2024,5,Action
tt32138963,Short,Le Club,2024,6,Action
tt32147858,Short,Ember,2024,1,Action
tt32149240,Short,Got Your Back,2024,4,Action
tt32149486,Short,Mission Improbable,2024,4,Action
tt32151114,Short,The Chase,2024,4,Action
tt32155809,Short,Tinah Buys Cigarettes,2024,6,Action
tt32161563,Short,Treasure Map,2024,3,Action
tt32163968,Short,Agent Equal the Movie,2024,4,Action
tt32174427,Short,Jump,2024,4,Action
tt32181422,Short,Cool Dudes,2024,,Action
tt32195647,Short,Freedom Fighter,2024,4,Action
tt32196334,Short,The Grim Reaper,2024,3,Action
tt32205629,Short,Flecha Squirrelzilla,2024,4,Action
tt32211847,Short,Vampire Planet Teaser,2024,4,Action
tt32213689,Short,Innerslip,2024,3,Action
tt32218362,Short,Blair,2024,4,Action
tt32219616,Short,Dobbeltspil,2024,4,Action
tt32220757,Short,Savior,2024,6,Action
tt32229806,Short,Dick Tracy & The Phantom,2024,4,Action
tt32235931,Short,Professionals the Bad Business,2024,5,Action
tt32242082,Short,The Ritual,2024,4,Action
