id_imdb,type,name,release_year,release_month,genre
tt10225380,Movie,Multiverso,2024,11,Action
tt10844184,Movie,Detour 95,2024,10,Action
tt10928904,Movie,The Legend of Johnny Jones,2024,10,Action
tt11078340,Movie,Slasher House 3,2024,3,Action
tt11374514,Movie,Clank and the Golden Scar,2024,10,Action
tt12037194,Movie,Furiosa: De la saga Mad Max,2024,5,Action
tt12529250,Movie,Danya,2024,,Action
tt13143064,Movie,Adrienne,2024,,Action
tt13176330,Movie,Hitpig,2024,,Action
tt13590374,Movie,Mnemonix,2024,12,Action
tt13818368,Movie,Fighter,2024,1,Action
tt14114688,Movie,L'Inferno (Remastered),2024,9,Action
tt14564000,Movie,Guntur Kaaram,2024,1,Action
tt15009428,Movie,Argylle,2024,2,Action
tt15127142,Movie,Nothing Unusual,2024,10,Action
tt15239678,Movie,Dune: Part Two,2024,3,Action
tt15535164,Movie,Sunset Shimmer and the Acidic Universe of Makori,2024,12,Action
tt15661136,Movie,Superman: Jubilation,2024,5,Action
tt4519000,Movie,Jessica Frost,2024,9,Action
tt5260932,Movie,Residence,2024,8,Action
tt5834410,Movie,The Tiger's Apprentice,2024,2,Action
tt8790086,Movie,Kraven the Hunter,2024,12,Action
tt9633926,Movie,Occult Squad,2024,8,Action
tt16401200,Movie,Rigged,2024,,Action
tt15716012,Movie,Trail Blazers: The Aftermath (Part 1),2024,,Action
tt16139258,Movie,Yodha,2024,3,Action
tt16867258,Movie,Sheran Di Kaum Punjabi,2024,4,Action
tt17074300,Movie,Dying for Living,2024,12,Action
tt17506650,Movie,Dead Heist,2024,10,Action
tt18072316,Movie,Bade Miyan Chote Miyan,2024,4,Action
tt18340690,Movie,Luna in Love,2024,11,Action
tt19892640,Movie,The Last Aztec Warrior,2024,5,Action
tt21692408,Movie,Kung Fu Panda 4,2024,3,Action
tt23461428,Movie,Lal Salaam,2024,2,Action
tt22084516,Movie,Karate Kid,2024,6,Action
tt24948640,Movie,Agent Narasimha-117,2024,1,Action
tt26446278,Movie,The Count of Monte-Cristo,2024,6,Action
tt26685948,Movie,The Dark Face,2024,8,Action
tt27124438,Movie,Dark Fusion,2024,6,Action
tt27162200,Movie,The Experts,2024,5,Action
tt27168272,Movie,Blood Pressure,2024,2,Action
tt27261550,Movie,Cheese,2024,none,Action
tt27439361,Movie,Diamonds and Pearls,2024,1,Action
tt27451262,Movie,Pedro Marquez Y la Ines Una Pareja Implacable Los de la Camioneta Gris,2024,1,Action
tt27478261,Movie,Sneham,2024,1,Action
tt27530836,Movie,Mandya,2024,5,Action
tt27534073,Movie,Terminator: Skynet Rising,2024,11,Action
tt27601821,Movie,Pimpin Aint Dead Movie,2024,1,Action
tt27607129,Movie,Lothorin,2024,7,Action
tt27617606,Movie,Rogue Countdown,2024,none,Action
