id_imdb,type,name,release_year,release_month,genre
tt32119268,Movie,Baby,2024,5,Drama
tt32119337,Movie,Simon of the Mountain,2024,5,Drama
tt32119297,Movie,Blue Sun Palace,2024,8,Drama
tt32119317,Movie,La Pampa,2024,5,Drama
tt32123253,Movie,A nuestros amigos,2024,4,Drama
tt32123489,Movie,The Disadvantages of Seeing God,2024,4,Drama
tt32123688,Movie,A Woman's Plight,2024,4,Drama
tt32126733,Movie,Dasavarenya Sri Vijaya Dasaru,2024,4,Drama
tt32128166,Movie,2020,2024,4,Drama
tt32128317,Movie,The Other Way Around,2024,8,Drama
tt32128915,Movie,Eat the Night,2024,5,Drama
tt32128666,Movie,In His Image,2024,9,Drama
tt32128950,Movie,"Something Old, Something New, Something Borrowed",2024,5,Drama
tt32128870,Movie,Desert of Namibia,2024,5,Drama
tt32128968,Movie,Los hiperbóreos,2024,5,Drama
tt32128938,Movie,A savana e a montanha,2024,5,Drama
tt32130925,Movie,Nenu Keerthana,2024,,Drama
tt32131062,Movie,Ienai Himitsu,2024,6,Drama
tt32133544,Movie,Air Blue Silk,2024,none,Drama
tt32134269,Movie,Hotel Houffer,2024,6,Drama
tt32134521,Movie,Arigato Monster,2024,3,Drama
tt32134886,Movie,Mother's Instinct,2024,4,Drama
tt32135294,Movie,Demons at Dawn,2024,6,Drama
tt32135407,Movie,Kyuka: Before Summer's End,2024,5,Drama
tt32134708,Movie,HOPE Westside High,2024,4,Drama
tt32137676,Movie,The Beginning,2024,7,Drama
tt32138755,Movie,Cuadrilátero,2024,3,Drama
tt32139961,Movie,Bissonnet 2: Back on the Blade,2024,4,Drama
tt32140423,Movie,Sharapanjaram,2024,4,Drama
tt32141536,Movie,McVeigh,2024,6,Drama
tt32143564,Movie,Dekha Howar Kotha Chilo,2024,4,Drama
tt32144181,Movie,Le Dream,2024,4,Drama
tt32145259,Movie,DRIVER,2024,6,Drama
tt32145804,Movie,Muzhchina i zhenshchina,2024,4,Drama
tt32145911,Movie,Evgeniy Telegin,2024,4,Drama
tt32145913,Movie,Under the Grey Sky,2024,6,Drama
tt32147765,Movie,1-800-on-Her-Own,2024,6,Drama
tt32149875,Movie,Land of fire,2024,4,Drama
tt32150360,Movie,Color Book,2024,6,Drama
tt32150467,Movie,They're Here,2024,6,Drama
tt32151168,Movie,Charming Men: Part 2 - Camilla,2024,6,Drama
tt32151316,Movie,Black Olive,2024,,Drama
tt32151362,Movie,For the love of cash 2,2024,5,Drama
tt32151514,Movie,Life of a Bull,2024,4,Drama
tt32144479,Movie,Bichos Muy Raros,2024,4,Drama
tt32152116,Movie,Maharaaj,2024,5,Drama
tt32152398,Movie,Ex Kills Me,2024,4,Drama
tt32155632,Movie,Bhundis,2024,5,Drama
tt32155764,Movie,Gulkand,2024,,Drama
tt32155974,Movie,Moloka'i Bound,2024,5,Drama
tt31323586,Short,Crown City,2024,2,Drama
tt31323979,Short,Mil yardas,2024,3,Drama
tt31324207,Short,The Passage of Time,2024,2,Drama
tt31358028,Short,Year One,2024,12,Drama
tt31365548,Short,Prompt,2024,6,Drama
tt31369263,Short,The Last Temptation,2024,12,Drama
tt31374688,Short,The Elephant Man's Bones,2024,none,Drama
tt31381434,Short,I'm afraid,2024,2,Drama
tt31381664,Short,Hello New Horizons,2024,2,Drama
tt31381671,Short,Bloodshed - DC Speed,2024,2,Drama
tt31382064,Short,Savage Sands,2024,1,Drama
tt31383261,Short,Ane No Koe,2024,2,Drama
tt31387555,Short,Please Tell Me You're Fine,2024,2,Drama
tt31389192,Short,À contre-coeurs,2024,1,Drama
tt31389719,Short,Lost and Found,2024,4,Drama
tt31389756,Short,Après nous,2024,3,Drama
tt31390151,Short,Written in Skin,2024,6,Drama
tt31390131,Short,Bhishan Singh (Mad House 1947),2024,2,Drama
tt31390385,Short,"Live, Mr. Boman!",2024,2,Drama
tt31391523,Short,The Monkey at the Inn,2024,1,Drama
tt31392467,Short,The Anomalisa Effect,2024,1,Drama
tt31392889,Short,Marrow,2024,5,Drama
tt31392914,Short,Litany,2024,6,Drama
tt31393044,Short,Glimpse,2024,none,Drama
tt31394103,Short,What's Eating the Juggernosh?,2024,2,Drama
tt31401182,Short,Perfect Words,2024,2,Drama
tt31406953,Short,Nazariya,2024,2,Drama
tt31407183,Short,Pallaton,2024,none,Drama
tt31407260,Short,Jack,2024,2,Drama
tt31407732,Short,Children Don't Deserve Water,2024,2,Drama
tt31407983,Short,Clerk,2024,4,Drama
tt31407993,Short,Focus,2024,2,Drama
tt31408091,Short,The Grown Up,2024,2,Drama
tt31408354,Short,Gruff,2024,3,Drama
tt31392259,Short,The red color of the second planet,2024,3,Drama
tt31390886,Short,The Painter,2024,4,Drama
tt31392703,Short,L'uomo che fotografò la donna più bella del mondo,2024,5,Drama
tt31394192,Short,Home,2024,1,Drama
tt31406836,Short,72,2024,2,Drama
tt31407640,Short,Babesa,2024,,Drama
tt31408357,Short,"Shimmer, Inspired by Eva Young",2024,3,Drama
tt31408712,Short,Hikikomori,2024,2,Drama
tt31408711,Short,Port Hope,2024,none,Drama
tt31410872,Short,Joker: The Last Laugh,2024,2,Drama
tt31411216,Short,Misperception,2024,,Drama
tt31414156,Short,Ahi & the Stars,2024,5,Drama
tt31414223,Short,Fugitive Faith,2024,3,Drama
tt31414390,Short,Famine,2024,3,Drama
tt31414790,Short,Noah & Eddie,2024,1,Drama
tt31414900,Short,Scripted,2024,3,Drama
