id_imdb,type,name,release_year,release_month,genre
tt10408218,Movie,Pizzodyssey,2024,2,Comedy
tt11152168,Movie,IF - Gli amici immaginari,2024,5,Comedy
tt12975102,Movie,Staycation,2024,9,Comedy
tt13036100,Movie,Broken Glass,2024,2,Comedy
tt13176330,Movie,Hitpig,2024,,Comedy
tt13311746,Movie,Food Fight,2024,2,Comedy
tt13622970,Movie,Vaiana 2,2024,11,Comedy
tt13695406,Movie,We Don't Say Retard Anymore,2024,9,Comedy
tt14256984,Movie,Una Noche Buena,2024,12,Comedy
tt14257662,Movie,"MoviePass, MovieCrash",2024,5,Comedy
tt14478740,Movie,Rhapsody in Justice,2024,8,Comedy
tt14866430,Movie,Disconnected,2024,11,Comedy
tt15005992,Movie,"Mookie Mayberry: Laugh, Live A Little",2024,,Comedy
tt15009428,Movie,Argylle - Tajny szpieg,2024,2,Comedy
tt15127142,Movie,Nothing Unusual,2024,10,Comedy
tt15482424,Movie,Untitled Universal Animated Event Film,2024,2,Comedy
tt15535164,Movie,Sunset Shimmer and the Acidic Universe of Makori,2024,12,Comedy
tt1609486,Movie,Harold and the Purple Crayon,2024,8,Comedy
tt5260932,Movie,Residence,2024,8,Comedy
tt5834410,Movie,The Tiger's Apprentice,2024,2,Comedy
tt9371598,Movie,This Time Next Year I'll Be Famous,2024,9,Comedy
tt9134034,Movie,The Levy's Tomb,2024,,Comedy
tt16238364,Movie,Dick Reno: Monster Slayer,2024,10,Comedy
tt8228656,Movie,Døde menn går på ski,2024,3,Comedy
tt15721572,Movie,The Truck,2024,,Comedy
tt7504794,Movie,All Hallows' Steve,2024,,Comedy
tt9348460,Movie,Uomini e altri inconvenienti,2024,10,Comedy
tt16915540,Movie,Careful How You Play,2024,,Comedy
tt18340690,Movie,Luna in Love,2024,11,Comedy
tt20029232,Movie,Гостиница,2024,9,Comedy
tt20407238,Movie,The Dream Fisher,2024,9,Comedy
tt20453194,Movie,The Satire,2024,12,Comedy
tt20721318,Movie,Kholop 2,2024,1,Comedy
tt21235248,Movie,Ghostbusters: Frozen Empire,2024,3,Comedy
tt21692408,Movie,Kung Fu Panda 4,2024,3,Comedy
tt21957774,Movie,Irish Wish,2024,3,Comedy
tt22022452,Movie,Inside Out 2,2024,6,Comedy
tt24224490,Movie,Üç Günlük Dünya,2024,5,Comedy
tt24516554,Movie,Filme Gel,2024,1,Comedy
tt26469339,Movie,The Zone Action: The Movie,2024,3,Comedy
tt26695297,Movie,Scotoe,2024,2,Comedy
tt26777092,Movie,This is Cinema,2024,5,Comedy
tt26932223,Movie,Bhool Bhulaiyaa 3,2024,11,Comedy
tt27003487,Movie,Quacker,2024,1,Comedy
tt27127398,Movie,Love Hurts,2024,none,Comedy
tt27459160,Movie,Teri Baaton Mein Aisa Uljha Jiya,2024,2,Comedy
tt27499876,Movie,American Eagles Can't Fly,2024,1,Comedy
tt27510174,Movie,Stree 2,2024,8,Comedy
tt27528145,Movie,Elmo,2024,none,Comedy
tt27534211,Movie,Bolshoe puteshestvie. Vokrug sveta,2024,7,Comedy
tt27626125,Movie,Marques Um Inspetor 3.0: Em Apuros - O Filme,2024,6,Comedy
tt27626427,Movie,Vampyr: Part One - Terrence,2024,4,Comedy
tt27635887,Movie,Have You Seen My Man?,2024,1,Comedy
tt27643369,Movie,Lemon man Death reckoning,2024,4,Comedy
tt27651263,Movie,Verliefd op Bali,2024,2,Comedy
tt27683397,Movie,Creepy Uncle Frankie,2024,4,Comedy
tt27718213,Movie,Exploding Cats,2024,4,Comedy
tt27800311,Movie,Animals United 2: The Chilldown,2024,7,Comedy
tt27827937,Movie,Lyubvi ne byvaet?,2024,5,Comedy
tt27991762,Movie,Diminishing Value of Love,2024,2,Comedy
tt28066777,Movie,Orión y la oscuridad,2024,2,Comedy
tt28106745,Movie,Neprilichnye gosti,2024,4,Comedy
tt28115327,Movie,Khodzha Nasreddin,2024,11,Comedy
tt28145088,Movie,Konets Slavy,2024,2,Comedy
tt28225574,Movie,Pare parecchio Parigi,2024,1,Comedy
tt28240132,Movie,Creepy Man Returns,2024,1,Comedy
tt28255934,Movie,The Kingfish 2,2024,1,Comedy
tt28350395,Movie,Kardes Takimi,2024,1,Comedy
tt28418746,Movie,Kak ya vstretil eyo mamu,2024,5,Comedy
tt28472242,Movie,The Hay Man,2024,10,Comedy
tt28484935,Movie,Ducobu passe au vert!,2024,4,Comedy
tt28549038,Movie,Harta Tahta Boru Ni Raja,2024,7,Comedy
tt28599750,Movie,Toxic Pixels Part 1,2024,4,Comedy
tt28599796,Movie,John Lick My Nuts,2024,8,Comedy
tt28600432,Movie,Cult Wars: Episode III - Sith Hits the Fan,2024,12,Comedy
tt28609799,Movie,A Family Affair,2024,2,Comedy
tt28686247,Movie,Migawari Mission,2024,2,Comedy
tt28696532,Movie,O Auto da Compadecida 2,2024,12,Comedy
tt28743123,Movie,Gull Lake Vice II: The Delusion Continues,2024,6,Comedy
tt28834181,Movie,Papá Por Sorpresa,2024,6,Comedy
tt29007655,Movie,Sint Ahoy! 2,2024,,Comedy
tt29040531,Movie,Chao bang ming mo,2024,2,Comedy
tt29114624,Movie,Chhota Bheem and the Curse of Damyaan,2024,5,Comedy
tt29117986,Movie,EP Break the Multiverse,2024,,Comedy
tt29138109,Movie,La familia Benetón,2024,3,Comedy
tt29141131,Movie,Sleaze Please: The World of Bill Margold,2024,5,Comedy
tt29220279,Movie,Slightly New,2024,1,Comedy
tt29261179,Movie,Ruki vverkh,2024,10,Comedy
tt29261187,Movie,Lyubov so vtorogo vzglyada,2024,3,Comedy
tt29261211,Movie,YA zhenil svoikh roditeley,2024,9,Comedy
tt29261276,Movie,Uralochka,2024,9,Comedy
tt29261272,Movie,"7 dney, 7 nochey",2024,5,Comedy
tt29265713,Movie,Govorit Zemlya!,2024,10,Comedy
tt29267807,Movie,Noches de Sol,2024,1,Comedy
tt29293379,Movie,Hard to Get,2024,6,Comedy
tt29307747,Movie,Dong wu yuan li you shen me?,2024,1,Comedy
tt29309965,Movie,Kudi Haryane Val Di,2024,6,Comedy
tt29335766,Movie,Fangs of Love,2024,1,Comedy
tt29345624,Movie,Dragons on the Hill,2024,1,Comedy
tt29348573,Movie,The 3_2 Pulldown,2024,3,Comedy
tt29374141,Movie,Husband for Sale,2024,1,Comedy
tt29402528,Movie,Eiga Doraemon: Nobita no Chikyû Symphony,2024,3,Comedy
tt29439922,Movie,Hayatimiz Roman,2024,3,Comedy
tt29441864,Movie,Social Creatures,2024,4,Comedy
tt29451310,Movie,Por tus muertos,2024,3,Comedy
tt29454492,Movie,Kolpaçino 4 4'lük,2024,1,Comedy
tt29456689,Movie,Ni Main Sass Kuttni 2,2024,6,Comedy
tt29485634,Movie,Mumble: Fate of A Lost Icon,2024,1,Comedy
tt29519507,Movie,Nenormalnyy,2024,3,Comedy
tt29521504,Movie,BumHer,2024,2,Comedy
tt29522722,Movie,Komanda Monstrov,2024,9,Comedy
tt29523617,Movie,Razyskivayetsya Ded Moroz,2024,12,Comedy
tt29534568,Movie,Ma part de Gaulois,2024,1,Comedy
tt29547063,Movie,Lost and Found,2024,2,Comedy
tt29551302,Movie,Baskan,2024,1,Comedy
tt29633969,Movie,Jönssonligan kommer tillbaka,2024,12,Comedy
tt29686705,Movie,Kenny Tactic: Shape Retold,2024,1,Comedy
tt29721947,Movie,Dona Lurdes: O Filme,2024,5,Comedy
tt29723724,Movie,De Dans van Natasja,2024,1,Comedy
tt29781139,Movie,Lesbian Space Princess,2024,,Comedy
tt29793197,Movie,Casa en flames,2024,6,Comedy
tt29871729,Movie,Padre no hay más que uno 4,2024,7,Comedy
tt29892897,Movie,Sacred Creatures,2024,9,Comedy
tt29899777,Movie,# 1 Fan,2024,7,Comedy
tt29939980,Movie,2020,2024,3,Comedy
tt29942585,Movie,Efsane,2024,2,Comedy
tt29952065,Movie,Blue Alliance,2024,3,Comedy
tt29961199,Movie,The End of Roblox City,2024,11,Comedy
tt29964571,Movie,Kevin James: Irregardless,2024,1,Comedy
tt30007864,Movie,The American Society of Magical Negroes,2024,3,Comedy
tt30007899,Movie,The American Society of Magical Negroes,2024,3,Comedy
tt30008419,Movie,Yesterday After Tomorrow,2024,1,Comedy
tt30056641,Movie,Aile Çikmazi,2024,3,Comedy
tt30089472,Movie,Brain Tumor,2024,4,Comedy
tt30131883,Movie,Yasam Koçu,2024,1,Comedy
tt30138535,Movie,Double Engine,2024,3,Comedy
tt30202054,Movie,My Love from Another Land,2024,2,Comedy
tt30215084,Movie,This Is Me... Now: A Love Story,2024,2,Comedy
tt30222855,Movie,Mike Epps: Ready to Sell Out,2024,2,Comedy
tt30225248,Movie,Omoge Suzzy,2024,9,Comedy
tt30225479,Movie,Pushistyy voyazh,2024,5,Comedy
tt30248005,Movie,Apaixonada,2024,3,Comedy
tt30264243,Movie,Untitled Azhar Usman Standup Film Project,2024,11,Comedy
tt30275493,Movie,Sounds Like A Great Project!,2024,5,Comedy
tt30292489,Movie,Gepack,2024,1,Comedy
tt30294276,Movie,Love and Work,2024,1,Comedy
tt30308414,Movie,1995,2024,7,Comedy
tt30319503,Movie,Dìdi,2024,8,Comedy
tt30319533,Movie,Stress Positions,2024,4,Comedy
tt30321095,Movie,Ghostlight,2024,6,Comedy
tt30321249,Movie,Lagan Special,2024,2,Comedy
tt30325406,Movie,Snooker Man,2024,1,Comedy
tt30329283,Movie,Hazegras,2024,1,Comedy
tt30364726,Movie,Citizen of a Kind,2024,1,Comedy
tt30400709,Movie,Bu Tejo Sowan Jakarta,2024,1,Comedy
tt30402897,Movie,Jacqueline Novak: Get on Your Knees,2024,1,Comedy
tt30420755,Movie,Adam i Eva,2024,3,Comedy
tt30430918,Movie,Tati Part Time,2024,1,Comedy
tt30471155,Movie,Operation Portugal 2 - La vie de chateau,2024,2,Comedy
tt30475098,Movie,Tur s Ivanushkami,2024,6,Comedy
tt30475191,Movie,Postuchis v moyu Tver,2024,11,Comedy
tt30475201,Movie,Vstretimsya vchera,2024,10,Comedy
tt30476486,Movie,Haikyu!! The Movie: Decisive Battle at the Garbage Dump,2024,2,Comedy
tt30478127,Movie,Faan hei gong sum 2,2024,2,Comedy
tt30486891,Movie,Delivery Boy,2024,2,Comedy
tt30489972,Movie,Aaichya Gavat Marathit Bol,2024,1,Comedy
tt30490537,Movie,Matka v trapu,2024,2,Comedy
tt30493743,Movie,Maqsoom,2024,1,Comedy
tt30496014,Movie,The Cleaners 2,2024,1,Comedy
tt30497082,Movie,Beijing jin xing shi,2024,7,Comedy
tt30504474,Movie,Erdal ile Ece,2024,2,Comedy
tt30505337,Movie,Les Chèvres!,2024,2,Comedy
tt30517920,Movie,Complotul Bonelor,2024,2,Comedy
tt30583573,Movie,Afacanlar Kampta,2024,1,Comedy
tt30590474,Movie,Nilavuku Enmel Ennadi Kobam,2024,12,Comedy
tt30624784,Movie,My Zombabe,2024,1,Comedy
tt30630937,Movie,Online Madhuve Offline Shobana,2024,1,Comedy
tt30661504,Movie,Troubleshooters,2024,10,Comedy
tt30698096,Movie,Huan qian,2024,2,Comedy
tt30747029,Movie,Root for the Wind,2024,1,Comedy
tt30760058,Movie,Kripya Dhyaan Dein,2024,1,Comedy
tt30761716,Movie,Intention,2024,1,Comedy
tt30767447,Movie,Luigi's Mansion,2024,1,Comedy
tt30768731,Movie,A Hip Hop Story,2024,2,Comedy
tt30768761,Movie,The Last Frenzy,2024,5,Comedy
tt30769141,Movie,Jatt Nuu Chudail Takri,2024,3,Comedy
tt30777542,Movie,Shinda Shinda No Papa,2024,5,Comedy
tt30783304,Movie,Bang Bank,2024,1,Comedy
tt30786071,Movie,Spuk unterm Riesenrad,2024,2,Comedy
tt30787657,Movie,Carole & Grey,2024,1,Comedy
tt30788360,Movie,Pastkarte no Romas,2024,1,Comedy
tt30788442,Movie,Noche de bodas,2024,3,Comedy
tt30790287,Movie,The Burbank Buzz,2024,1,Comedy
tt30790735,Movie,Korporatsiya Morozov,2024,1,Comedy
tt30790971,Movie,Klaus & Barroso,2024,1,Comedy
tt30791209,Movie,Avantyura,2024,1,Comedy
tt30792969,Movie,Gandriz Vecpuisis,2024,2,Comedy
tt30795952,Movie,"Stella Mantoni, Il Ritorno",2024,1,Comedy
tt30802419,Movie,Barbarian,2024,1,Comedy
tt30802667,Movie,21 Numara Askin Tadi,2024,1,Comedy
tt30803405,Movie,Into the Public Domain,2024,11,Comedy
tt30808048,Movie,"Goons, Guns and the Gumshoe",2024,1,Comedy
tt30818935,Movie,The Eye of the Salamander,2024,2,Comedy
tt30821917,Movie,Game Changers,2024,5,Comedy
tt30827600,Movie,Believers,2024,1,Comedy
tt30828117,Movie,The Legend of Crick Foot,2024,2,Comedy
tt30829309,Movie,Fei chi ren sheng 2,2024,2,Comedy
tt30829724,Movie,Multiplayer,2024,2,Comedy
tt30832351,Movie,I soliti idioti 3: Il ritorno,2024,1,Comedy
tt30835291,Movie,Swamp Dogg Gets His Pool Painted,2024,3,Comedy
tt30836045,Movie,Bai she: Fu sheng,2024,8,Comedy
tt30836377,Movie,Click,2024,2,Comedy
tt30840535,Movie,My Sassy Girl,2024,1,Comedy
tt30842302,Movie,S.N.S.O.B - Supernatural Squad of Badasses Part 2,2024,5,Comedy
tt30844333,Movie,Rickey Smiley Presents: 3 the Hard Way,2024,7,Comedy
tt30848809,Movie,Portal to the Abyss,2024,1,Comedy
tt30850554,Movie,Jaque Mate,2024,1,Comedy
tt30851638,Movie,Yie Prehhh...,2024,1,Comedy
tt30868341,Movie,Ticklebits the movie,2024,4,Comedy
tt30868379,Movie,Bruno,2024,1,Comedy
tt30868804,Movie,Especial Éste,2024,1,Comedy
tt30870197,Movie,Exile: Director's Cut,2024,2,Comedy
tt30870226,Movie,Kavej,2024,7,Comedy
tt30876942,Movie,Road Trip,2024,1,Comedy
tt30912876,Movie,Trizombie,2024,2,Comedy
