id_imdb,type,name,release_year,release_month,genre
tt27250209,Movie,From Russia with Motive the Movie,2023,none,Comedy
tt27251045,Movie,Mudnocchio: The Shockumentary (Page 1),2023,7,Comedy
tt27252977,Movie,Pervoye leto,2023,,Comedy
tt27250288,Movie,Marne Ke Dar Se Mere Dil,2023,3,Comedy
tt27260902,Movie,A Crossroad's story,2023,6,Comedy
tt27272780,Movie,Mi Maestra se comió a mi amigo,2023,3,Comedy
tt27286213,Movie,Killer Thriller,2023,3,Comedy
tt27287300,Movie,Latinoamericaos,2023,6,Comedy
tt27262491,Movie,Hava Muhalefeti,2023,4,Comedy
tt27304760,Movie,Love - am Ende zählst du,2023,none,Comedy
tt27304839,Movie,Killing Romance,2023,4,Comedy
tt27307498,Movie,Holy Trouble,2023,3,Comedy
tt27313626,Movie,The Bride Price,2023,3,Comedy
tt27331011,Movie,Üçlü Pürüz,2023,4,Comedy
tt27331198,Movie,Night Owl,2023,1,Comedy
tt27334979,Movie,The Playbook,2023,3,Comedy
tt27329109,Movie,Højst besynderlige typer,2023,none,Comedy
tt27341062,Movie,Amores Pendientes,2023,2,Comedy
tt27350073,Movie,Ramses to Paris,2023,4,Comedy
tt27350581,Movie,Gaddi Jaandi Ae Chalaangaan Maardi,2023,9,Comedy
tt27353927,Movie,What Lies Beneath,2023,,Comedy
tt27352659,Movie,Impossssible Missssion. Dead Raccoon,2023,3,Comedy
tt27357170,Movie,Working Boys 2: Choose Your Papa,2023,3,Comedy
tt27349112,Movie,Öt Bakalim,2023,,Comedy
tt27371976,Movie,Último Recurso,2023,5,Comedy
tt27374513,Movie,Fosil,2023,3,Comedy
tt27385176,Movie,San Francisco Cowboy,2023,8,Comedy
tt27402662,Movie,Ready for Pickup,2023,3,Comedy
tt27405287,Movie,Badass Maid,2023,3,Comedy
tt27405843,Movie,Vestida de blanco,2023,6,Comedy
tt27411121,Movie,Ripupbury,2023,4,Comedy
tt27412258,Movie,Legénybúcsú Extra,2023,5,Comedy
tt27412934,Movie,"Konnichiha, kâsan",2023,9,Comedy
tt27415372,Movie,The Robin and the Dodo,2023,11,Comedy
tt27418823,Movie,Hep Yek: Dügün,2023,10,Comedy
tt27424932,Movie,Sambandho Ma Khali Jagya,2023,5,Comedy
tt27425491,Movie,Biet Doi Rat On,2023,3,Comedy
tt27433086,Movie,Ai hen mei wei,2023,4,Comedy
tt27436058,Movie,Some Awesome Action Movies (Unas Buenas Peliculas de Acción),2023,4,Comedy
tt27439320,Movie,Ryan Sickler: Lefty's Son,2023,4,Comedy
tt27440677,Movie,Chandini Bar,2023,4,Comedy
tt27442304,Movie,Single Bells,2023,4,Comedy
tt27442405,Movie,Long Distance,2023,5,Comedy
tt27443058,Movie,Dangsin-eulobuteo,2023,4,Comedy
tt27466897,Movie,De egels,2023,1,Comedy
tt27466882,Movie,OTTK,2023,4,Comedy
tt27468331,Movie,Generation,2023,10,Comedy
tt27468750,Movie,Fazzeti,2023,,Comedy
tt27470128,Movie,Paysage aux torchons,2023,6,Comedy
tt27477327,Movie,Hell Bunny,2023,4,Comedy
tt27481577,Movie,Solo,2023,4,Comedy
tt27482608,Movie,Max and Sadie,2023,,Comedy
tt27481373,Movie,Cognate,2023,5,Comedy
tt27488759,Movie,5 Ugly Girls,2023,4,Comedy
tt27489169,Movie,¡Hasta la madre! Del día de las madres,2023,5,Comedy
tt27489745,Movie,Hannah Gadsby: Something Special,2023,5,Comedy
tt27490340,Movie,Igba Nkwu,2023,3,Comedy
tt27492818,Movie,Ibn Al-Hajj Ahmed,2023,4,Comedy
tt27495721,Movie,テクノブラザーズ,2023,7,Comedy
tt27500773,Movie,The urgency of death,2023,4,Comedy
tt27501845,Movie,G-Men,2023,8,Comedy
tt27502506,Movie,The King of Algiers,2023,5,Comedy
tt27502447,Movie,This is Budget Productions,2023,7,Comedy
tt27502539,Movie,Sir Madam Sarpanch,2023,4,Comedy
tt27503994,Movie,Nimmo Lucknow Wali,2023,5,Comedy
tt27505543,Movie,El hincha,2023,4,Comedy
tt27500712,Movie,Terminal Young,2023,4,Comedy
