id_imdb,type,name,release_year,release_month,genre
tt10579986,Movie,Mom's Coming,2024,11,Drama
tt10597228,Movie,Love Song and Power,2024,1,Drama
tt11097384,Movie,Spaceman,2024,3,Drama
tt11152168,Movie,IF - Gli amici immaginari,2024,5,Drama
tt11822244,Movie,Manje Bistre 3,2024,7,Drama
tt12053936,Movie,Eternal Oath,2024,7,Drama
tt12255500,Movie,Escaping Tomorrow,2024,,Drama
tt12767592,Movie,After dark,2024,12,Drama
tt12861438,Movie,Heaven and Hell,2024,7,Drama
tt13036100,Movie,Broken Glass,2024,2,Drama
tt13433802,Movie,A Quiet Place: Tag Eins,2024,6,Drama
tt13561128,Movie,Three Couples Freed,2024,1,Drama
tt13576680,Movie,Vo Ladki,2024,11,Drama
tt13695406,Movie,We Don't Say Retard Anymore,2024,9,Drama
tt13818368,Movie,Fighter,2024,1,Drama
tt13965596,Movie,Reckless,2024,11,Drama
tt14117392,Movie,An Irish Angel,2024,4,Drama
tt14256984,Movie,Una Noche Buena,2024,12,Drama
tt14257662,Movie,"MoviePass, MovieCrash",2024,5,Drama
tt14478740,Movie,Rhapsody in Justice,2024,8,Drama
tt14564000,Movie,Guntur Kaaram,2024,1,Drama
tt14643262,Movie,Noda Hitam Dalam Pelukan,2024,11,Drama
tt14866430,Movie,Disconnected,2024,11,Drama
tt14904970,Movie,La Puerta Verde,2024,9,Drama
tt14978566,Movie,The Hippie Who Came to Roam,2024,10,Drama
tt15005992,Movie,"Mookie Mayberry: Laugh, Live A Little",2024,,Drama
tt15239678,Movie,Dune: Part Two,2024,3,Drama
tt15427838,Movie,Backstage,2024,4,Drama
tt15535164,Movie,Sunset Shimmer and the Acidic Universe of Makori,2024,12,Drama
tt15572712,Movie,Foreign scotch,2024,5,Drama
tt1592253,Movie,Dante's Inferno,2024,11,Drama
tt2368853,Movie,Sides,2024,8,Drama
tt4392566,Movie,When the Moon Was Twice as Big,2024,12,Drama
tt4601194,Movie,Reparations in America,2024,7,Drama
tt5834410,Movie,The Tiger's Apprentice,2024,2,Drama
tt6398614,Movie,Folded in Grey,2024,7,Drama
tt9371598,Movie,This Time Next Year I'll Be Famous,2024,9,Drama
tt15791240,Movie,The Uncivil War,2024,1,Drama
tt9134042,Movie,Ben's an Imposter,2024,,Drama
tt15769770,Movie,Never Stop Dreaming,2024,5,Drama
tt9633926,Movie,Occult Squad,2024,8,Drama
tt16139258,Movie,Yodha,2024,3,Drama
tt9810236,Movie,Apophis 2029,2024,12,Drama
tt15721572,Movie,The Truck,2024,,Drama
tt16867258,Movie,Sheran Di Kaum Punjabi,2024,4,Drama
tt7131764,Movie,Jett,2024,9,Drama
tt8547668,Movie,Professor Kimmer's Initiation,2024,9,Drama
tt16913084,Movie,Case #111-878,2024,11,Drama
tt17037988,Movie,Last Flamingo of the Red Summer Sunset,2024,2,Drama
tt17073016,Movie,Pretty Russell,2024,,Drama
tt17590672,Movie,Scorpion,2024,6,Drama
tt17731524,Movie,Valhalla Awaits,2024,10,Drama
tt18213692,Movie,Persona,2024,7,Drama
tt18556552,Movie,The Falling Sun,2024,11,Drama
tt19368948,Movie,L'ora di tutti,2024,9,Drama
tt19898506,Movie,Paralelo 7/9,2024,11,Drama
tt20407238,Movie,The Dream Fisher,2024,9,Drama
tt20411966,Movie,Should Have Waited,2024,5,Drama
tt20453194,Movie,The Satire,2024,12,Drama
tt20923242,Movie,Our Family Pride,2024,,Drama
tt21065476,Movie,The Donor,2024,4,Drama
tt22022452,Movie,Inside Out 2,2024,6,Drama
tt22394800,Movie,Cem Karaca'nin Gözyaslari,2024,1,Drama
tt23461428,Movie,Lal Salaam,2024,2,Drama
tt23747498,Movie,Onegin,2024,3,Drama
tt24176896,Movie,Yolun Sonu Nebi,2024,10,Drama
tt24948640,Movie,Agent Narasimha-117,2024,1,Drama
tt25785988,Movie,Hayatla Baris,2024,2,Drama
tt26238738,Movie,Vamp Camp: Being a Melodrama in Three Parts,2024,,Drama
tt26439277,Movie,Enemy next door,2024,1,Drama
tt26446278,Movie,The Count of Monte-Cristo,2024,6,Drama
tt26731216,Movie,The Forge,2024,8,Drama
tt26731970,Movie,Yoake no subete,2024,2,Drama
tt26768685,Movie,Rabb Da Radio 3,2024,3,Drama
tt27006928,Movie,Carbon & water,2024,7,Drama
tt27205186,Movie,Liz,2024,,Drama
tt27248147,Movie,Concrete Blues,2024,12,Drama
tt27439361,Movie,Diamonds and Pearls,2024,1,Drama
tt27459160,Movie,Teri Baaton Mein Aisa Uljha Jiya,2024,2,Drama
tt27478261,Movie,Sneham,2024,1,Drama
tt27487288,Movie,Lyod 3,2024,2,Drama
tt27496775,Movie,Vogter,2024,5,Drama
tt27533338,Movie,Beautiful Bombshells,2024,4,Drama
