actor_name
Kevin Spacey
Sam Mendes
Russell Crowe
Julia Roberts
Steven Soderbergh
Denzel Washington
Hally Berry
Ron Howard
Adrien Brody
Nicole Kidman
Roman Polanski
Charlize Theron
Peter Jackson
Jamie Foxx
Hilary Swank
Clint Eastwood
Philip Seymour Hoffman
Reese Witherspoon
Forest Whitaker
Helen Mirren
Martin Scorsese
Daniel Day-Lewis
Marion Cotillard
Joel Coen
Sean Penn
Kate Winslet
Danny Boyle
Jeff Bridges
Sandra Bullock
Kathryn Bigelow
Colin Firth
Natalie Portman
Tobe Hooper
Jean Dujardin
Meryl Streep
Michel Hazanavicius
Daniel Day-Lewis
Jennifer Lawrence
Adam Lee
Matthew McConaughey
Cate Blanchett
Eddie Redmayne
Julianne Moore
Leonardo DiCaprio
Brie Larson
Alejandro G. Iñárritu
Casey Affleck
Damien Chazelle
Gary Oldman
Frances McDormand
Guillermo del Toro
Rami Malek
Olivia Colman
Alfonso Cuarón
Renée Zellweger
Joaquin Phoenix
Bong Joon Ho
Anthony Hopkins
Chloé Zhao
Will Smith
Jessica Chastain
Jane Campion
Brendan Fraser
Michelle Yeoh
Daniel Kwan
Cillian Murphy
Emma Stone
Christopher Nolan
