actor_name
Kevin Spacey
Hilary Swank
Sam Mendes
Russell Crowe
Julia Roberts
Steven Soderbergh
Denzel Washington
Hally Berry
Ron Howard
Adrien Brody
Nicole Kidman
Roman Polanski
Sean Penn
Charlize Theron
Peter Jackson
Jamie Foxx
Clint Eastwood
Philip Seymour Hoffman
Reese Witherspoon
Adam Lee
Forest Whitaker
Helen Mirren
Martin Scorsese
Daniel Day-Lewis
Marion Cotillard
Joel Coen
Kate Winslet
Danny Boyle
Jeff Bridges
Sandra Bullock
Kathryn Bigelow
Colin Firth
Natalie Portman
Tobe Hooper
Jean Dujardin
Meryl Streep
Michel Hazanavicius
Jennifer Lawrence
Matthew McConaughey
Cate Blanchett
Alfonso Cuarón
Eddie Redmayne
Julianne Moore
Alejandro G. Iñárritu
Leonardo DiCaprio
Brie Larson
Casey Affleck
Emma Stone
Damien Chazelle
Gary Oldman
Frances McDormand
Guillermo del Toro
Rami Malek
Olivia Colman
Renée Zellweger
Joaquin Phoenix
Bong Joon Ho
Anthony Hopkins
Chloé Zhao
Will Smith
Jessica Chastain
Jane Campion
Brendan Fraser
Michelle Yeoh
Daniel Kwan
Cillian Murphy
Christopher Nolan
