actor_name,birth_year,known_for,actor_role,actor_awards
Kento Handa,0,"Gekijôban Kamen Raidâ 555: Paradaisu rosuto, Super Hero Taisen GP: Kamen Rider 3",Reparto,0
Yuria Haga,0,"Gekijôban Kamen Raidâ 555: Paradaisu rosuto, Kamen raidâ Kiba",Reparto,0
Rumika Fukuda,0,"Kamen Rider 555 20th: Paradise Regained, One-Percent Warrior",Reparto,0
Daiji Asakawa,0,"Papa ga Mo Ichido Koi wo Shita, Kamen Rider 555: Murder Case",Reparto,0
Rui Yanagawa,0,"Kamen Rider 555 20th: Paradise Regained, Kamen Rider 555: Murder Case",Reparto,0
Nolan Mick,0,"Maybe I Am the Villain, Fresh Catch","Diseño de producción,  Arte,  Dirección de arte",0
Itzel J. Velázquez Martínez,0,"Titanes, Orphan Black: Echoes","Guion y continuidad,  Reparto,  Arte",0
Marc Rico Ludwig,0,"Maybe I Am the Villain, The Greater Good",Reparto,AltFF Alternative Film Festival
Meeland Nicola,0,Down to Earth,Reparto,0
Ravi Teja,1968,"Neninthe, Disco Raja","Reparto,  Música,  Producción","Filmfare Awards South, CineMAA Awards"
Anupama Parameswaran,1996,"Premam, Premam",Reparto,"Filmfare Awards South, South Indian International Movie Awards"
Navdeep,1986,"Ala Vaikunthapurramuloo, Arindhum Ariyamalum","Reparto,  Composición","Conocido/a por, Más de esta persona"
Srinivas Avasarala,1984,"Oohalu Gusagusalade, Kalki 2898-AD","Reparto,  Guion,  Dirección","Filmfare Awards South, South Indian International Movie Awards"
Madhoo,1969,"Phool Aur Kaante, Thalaivi",Reparto,"Filmfare Awards South, Tamil Nadu State Film Awards, India"
Scott Adkins,1976,"Turno de día, Boyka: Invicto 4","Reparto,  Producción,  Especialistas","Santa Monica Film Festival, Action on Film International Film Festival, USA"
Alice Eve,1982,"Star Trek: En la oscuridad, Ni en sueños","Reparto,  Producción,  Dirección",Newport Beach Film Festival
Jack Parr,0,"Peaky Blinders, Emmerdale","Reparto,  Guion,  Dirección","The Monthly Film Festival (TMFF), The Monkey Bread Tree Film Awards"
Billy Clements,1984,"Fast & Furious X, Tenet","Especialistas,  Reparto",Screen Actors Guild Awards
Adah Sharma,1989,"1920, Commando",Reparto,"Filmfare Awards, Zee Cine Awards"
Purnendu Bhattacharya,0,"Talvar, Children of War",Reparto,FOI Online Awards
Anangsha Biswas,1990,"Mirapur, Taxi No. 24",Reparto,"Screen Awards, IN"
Sanjay Borkar,0,"Maska, Duranga",Reparto,0
Manav Vij,1977,"Udta Punjab, Gunjan Saxena: La chica de Kargil",Reparto,"PTC Punjabi Film Awards, Hitlist OTT Awards"
Suvinder Vicky,1973,"El cuentakilómetros, Udta Punjab",Reparto,"Singapore International Film Festival, Indian Television Academy Awards, India"
Yograj Singh,1958,"Vichhora, Yaar Maar","Reparto,  Dirección,  Guion",0
Dhanveer Singh,0,"State of Siege: Temple Attack, Dasvi",Reparto,0
Isha Rikhi,0,"Rode College, Laddu Barfi",Reparto,0
Venkat Bharadwaj,0,"Naguvina Hoogala Mele, Bablusha","Dirección,  Guion,  Reparto",0
Diganth Dhanush,0,0,Reparto,0
Sunethra Gopal,0,0,Reparto,0
