actor_name,birth_year,known_for,actor_role,actor_awards
Keith Kupferer,0,"Camino a la perdición, Viudas",Reparto,"Seattle International Film Festival, Accolade Competition"
Katherine Mallen Kupferer,0,"Viudas, Fools",Reparto,Seattle International Film Festival
Tara Mallen,0,"Sense8, Chicago P.D.",Reparto,0
Dolly De Leon,1969,"Ang duyan ng magiting, Verdict","Reparto,  Equipos adicionales,  Dirección de la segunda unidad o asistencia a dirección","FAP Awards, Philippines, BAFTA Awards"
Hanna Dworkin,0,"Sense8, Chicago P.D.",Reparto,0
Malhar Thakar,0,"Love Ni Bhavai, Sonu Tane Mara Par Bharoso Nai Ke","Reparto,  Producción",0
Puja Joshi,0,"Love Atrangi, Aavuj Reshe",Reparto,0
Mitra Gadhvi,0,"Daav Thai Gayo Yaar, Ventilator","Reparto,  Guion",0
Nijal Modi,0,"Sonu Tane Mara Par Bharoso Nai Ke, Lagan Special","Reparto,  Dirección de producción",0
Ragi Jani,0,"Haju Samay Chhe, Samji Jao to Saru..., Daud Pakad","Reparto,  Dirección,  Guion",0
Luis Amália,0,"Tea with Lemon, Buzzcut make me the moon, make my body internet","Reparto,  Arte",0
Dave Darko,0,"Remember Me, The Tormented","Maquillaje,  Reparto,  Efectos especiales","Independent Horror Movie Awards, The Yellow Fever Independent Film Festival"
Scott Erlendson,0,0,Reparto,0
Miguel Andrew Fish,0,0,Reparto,0
Roxanne Gregory,0,"Bob, Drop Outs",Reparto,0
Rudi De Cock,0,0,Reparto,0
Pascale De Sutter,0,0,Reparto,0
Iris Dekeersgieter,0,0,Reparto,0
Alain Delanghe,0,0,Reparto,0
Anita Desport,0,0,Reparto,0
Ra Mi-ran,1975,"Sympathy for Lady Vengeance, Hope",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Gong Myoung,1994,"Honsoolnamnyeo, Habaekui Shinboo","Reparto,  Composición","Grand Bell Awards, South Korea, Baek Sang Art Awards"
Yeom Hye-ran,1976,"A la caza de espíritus malignos, La chica enmascarada",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Park Byeong-eun,1977,"The Yellow Sea, Seobok",Reparto,0
Jang Yoon-ju,1980,"Three Sisters, Bailarina",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Siti Fauziah,0,"Tilik, Dating Queen",Reparto,"Maya Awards, Festival Film Bandung"
Aditya Lakon,0,"Tumbal Kanjeng Iblis, Bu Tejo Sowan Jakarta",Reparto,0
Brilliana Desy D.,0,"Ziarah, Love of Fate",Reparto,0
Putri Munjo,0,"Scandal Makers, Bu Tejo Sowan Jakarta",Reparto,0
Dyah Mulani,0,"The East, Bu Tejo Sowan Jakarta",Reparto,0
Jacqueline Novak,1982,"Monica, A Big Bold Beautiful Journey","Reparto,  Producción,  Guion",0
Dmitriy Chebotaryov,0,"Igor Grom contra el Doctor Peste, My",Reparto,0
Nikolay Dobrynin,1963,"Svaty, Gromozeka","Reparto,  Equipos adicionales","Biarritz International Festival of Audiovisual Programming, Russian Guild of Film Critics"
Ilya Farfell,0,"Overturn, ""Its Me""","Producción,  Dirección,  Dirección de la segunda unidad o asistencia a dirección",0
Polina Maksimova,1989,"Priklyucheniya v tridesyatom tsarstve, Adam i Eva",Reparto,Cannes International Series Festival (CannesSeries)
Koza Manya,0,0,Reparto,0
Alex Bogdan,0,"Mangalita, Boss","Reparto,  Guion,  Producción",0
Eva Maruta,0,0,Reparto,0
Raluca Aprodu,1985,"La marca del lobo, Na vlastní nebezpecí",Reparto,0
Ioan Cortea,0,"Roast Battle, TurVlog Nelu Cortea","Producción,  Guion,  Dirección",0
Mihaela Teleoaca,0,"Beyond Borders, Examen",Reparto,0
D'Jal,0,"Operation Portugal 2 - La vie de chateau, El Marginal","Guion,  Reparto,  Producción",0
Grégoire Bonnet,1966,"Distrito 13: Ultimátum, Cuenta atrás",Reparto,0
Aurélie Boquien,0,"Le bureau des affaires sexistes, Chippendale Barbecue","Reparto,  Guion",0
Sarah Perles,0,"Rescate en la kasbah, El Cid",Reparto,Toko Film Festival
Serge Da Silva,0,"Avenir, Operación Portugal",Reparto,0
Kanan Abbasov,0,Tayga,Reparto,0
Nikita Abdulov,0,"Hacia el lago, Tur s Ivanushkami",Reparto,0
Kirill Andreev,0,"Tur s Ivanushkami, Den vyborov","Reparto,  Banda sonora",0
Tatyana Dogileva,1957,"Afganskiy izlom, Obychnaya zhenshchina","Reparto,  Dirección,  Guion","Nika Awards, Russian Guild of Film Critics"
Andrey Grigorev-Appolonov,0,"Krasota trebuyet, Tur s Ivanushkami","Reparto,  Banda sonora",0
Pavel Priluchnyy,1987,"Zakrytaya shkola, Na igre",Reparto,"APKIT Awards, Russian National Movie Awards"
Mariya Gorban,1986,"Zhenshchiny protiv muzhchin: Krymskie kanikuly, Postuchis v moyu Tver",Reparto,0
Nikolay Kozak,0,"Catalina, Zapovednyy spetsnaz",Reparto,Ourense Independent Film Festival
Natalya Bochkareva,1980,"Postuchis v moyu Tver, Schastlivy vmeste",Reparto,0
Dmitriy Vlaskin,0,"YA nichego ne pomnyu, Tout est très sérieux","Reparto,  Dirección,  Producción",0
