actor_name,birth_year,known_for,actor_role,actor_awards
Manav Vij,1977,"Udta Punjab, Gunjan Saxena: La chica de Kargil",Reparto,"PTC Punjabi Film Awards, Hitlist OTT Awards"
Suvinder Vicky,1973,"El cuentakilómetros, Udta Punjab",Reparto,"Singapore International Film Festival, Indian Television Academy Awards, India"
Yograj Singh,1958,"Vichhora, Yaar Maar","Reparto,  Dirección,  Guion",0
Dhanveer Singh,0,"State of Siege: Temple Attack, Dasvi",Reparto,0
Isha Rikhi,0,"Rode College, Laddu Barfi",Reparto,0
Balwinder Bullet,0,"Bhajjo Veero Ve, DJ Wale Babu",Reparto,0
Madam Kulwant Khurmi,0,"Parahuna 2, Patang",Reparto,0
Jassi Lokha,0,"Jattan Da Putt Mada Ho Gya: Ninja feat. Tanvi Nagi, Pistol","Guion,  Reparto,  Composición",0
Chitra Singh,0,0,Reparto,0
Prince Kanwaljit Singh,0,"Ik Sandhu Hunda Si, Jatt Boys Putt Jattan De","Reparto,  Guion,  Dirección",0
Indraja,1977,"Ugram, Ustaad",Reparto,"Conocido/a por, Más de esta persona"
Ajay,1978,"Thunivu, 24",Reparto,"Filmfare Awards South, South Indian International Movie Awards"
Jisshu Sengupta,1977,"Zulfiqar, Sita Ramam","Producción,  Reparto,  Música","South Indian International Movie Awards, Screen Awards, IN"
Sachin Khedekar,1965,"Agneepath, Sita Ramam","Reparto,  Equipos adicionales","South Indian International Movie Awards, Vijay Awards"
Tanikella Bharani,1954,"Ponniyin Selvan: Part One, Samudram","Reparto,  Guion,  Dirección","CineMAA Awards, Nandi Awards"
Bislim Muçaj,0,"Zana, Njeriu prej dheu",Reparto,0
Aulona Lupa,0,"Apples, To nanourisma tis Marias",Reparto,0
Astrit Alihajdaraj,1976,"The Remigrant, Gone Back","Reparto,  Producción,  Dirección","Bare Bones International Film & Music Festival, Alternative Film Festival"
Armond Morina,0,"Familja Moderne, Adnan Kafazi","Reparto,  Guion,  Producción",0
Valina Mucolli,0,0,Reparto,0
Ahmed Alabdi,0,"Stranded 3, Tiempo de victoria: La dinastía de Los Lakers",Reparto,0
Gwendolyn Année,0,"Leave Me in Pieces, Becoming Yourself",Reparto,0
Zach Battaglia,0,Justice for the People with Judge Milian,"Reparto,  Equipos adicionales",0
Dimi Belolipetskiy,0,0,Reparto,0
Gabrielle Birchak,0,"Never Divorce a Secret Billionaire Heiress, A Celebration","Reparto,  Guion,  Dirección",0
André Alan Pérez,0,"America in Transition: A Family Matter, America in Transition","Producción,  Dirección,  Sonido",New Orleans Film Festival
Angel Piedra,0,Desire Lines,Producción,0
Evin Hunter Luehrs,0,Desire Lines,Reparto,0
Elijah Valentin,0,Desire Lines,Reparto,0
Juju Minx,0,"Hot Haus, F*cking Smart",Reparto,0
John Campanile,0,"Human Hibachi, Dark County","Reparto,  Producción","Christian Online Film Festival (COLFF), Christian Film Festival"
Asia Clark,0,"Win for Losing, Weapons of Warfare","Equipos adicionales,  Vestuario,  Localización",0
Titus Gunn,0,"1-800-Missing, Weapons of Warfare",Reparto,0
Simeon Henderson,0,Partyline,"Reparto,  Producción,  Casting",0
Kendrick Holmes,0,"City of Vultures 2, City of Vultures 3","Reparto,  Dirección de fotografía y cámara",0
Zul Ariffin,0,"Penanggal: The Curse of the Malayan Vampire, Sheriff: Narko Integriti",Reparto,Malaysian Film Festival
Syafiq Kyle,0,"Sheriff: Narko Integriti, Seribu Nina","Reparto,  Producción","Malaysian Film Festival, Asian Television Awards"
Aaron Aziz,0,"Sayu Yang Syukur, Romeo Kota","Reparto,  Dirección,  Especialistas",Malaysian Film Festival
Elizabeth Tan,0,"W: Two Worlds, Abang Long Fadil 3","Reparto,  Banda sonora",0
Azira Shafinaz,0,"Sheriff: Narko Integriti, One Cent Thief",Reparto,Asian Academy Creative Awards
Jay Eseyoma,0,0,Reparto,0
Arthur Kyle,0,0,Reparto,0
Chisom Olisakwe,0,0,Reparto,0
Carl Washington,0,"Justice in the Streets, The Atheist","Reparto,  Producción,  Guion",0
Tony Washington,0,"Essence of the Martial Arts, Why Things Change","Producción,  Guion,  Dirección",0
Nadiin,0,"Killer 2, Red Velvet","Reparto,  Dirección,  Guion",0
Abhinivesh,0,"Monster 2 the Final Draft, Sword","Reparto,  Dirección,  Guion",0
Ragav,0,"Killer 2, Demon",Reparto,0
Vijayhari,0,"Killer 2, REX",Reparto,0
Surendran.A.P,0,"REX, Killer 2",Reparto,0
Selton Mello,1972,"O Filme da Minha Vida, Mi amigo hindú","Reparto,  Dirección,  Guion","Bogota Film Festival, Brazilia Festival of Brazilian Cinema"
Matheus Nachtergaele,1969,"A Festa da Menina Morta, O Auto da Compadecida","Reparto,  Dirección,  Guion","Brazilia Festival of Brazilian Cinema, Cannes Film Festival"
Taís Araújo,1978,"Xica da Silva, Da Cor do Pecado","Reparto,  Banda sonora","Gramado Film Festival, Miami Brazilian Film Festival"
Fabiula Nascimento,0,"El lobo detrás de la puerta, Força-Tarefa","Reparto,  Banda sonora","Cinema Brazil Grand Prize, Prêmio Contigo, Brazil"
Mike Ajide,0,"FanGirl, Kill Em with A Smile",Reparto,0
Chelle Alexis,0,No New Friends,Reparto,0
Crystal Beharry,0,"How 2 Catch A Baller, He Loves Me Not",Reparto,0
Sova Black,0,"Fifty Pack, ""Dont Miss: Chapter 1""","Reparto,  Dirección,  Guion",0
Brandon Bougerious,0,"Diamonds and Pearls, The Clean Up","Reparto,  Dirección de la segunda unidad o asistencia a dirección",0
Richard Norton,1950,"City Hunter, Rage","Reparto,  Especialistas,  Producción","Screen Actors Guild Awards, Action on Film International Film Festival, USA"
Lisa McCune,1971,"La pequeña muerte, Sea Patrol","Reparto,  Producción","Australian Film Institute, Logie Awards"
James Mason,0,"Playing for Keeps, ""Ms Fishers Modern Murder Mysteries""","Reparto,  Producción,  Dirección de la segunda unidad o asistencia a dirección","Logie Awards, The Equity Ensemble Awards"
Grant Piro,0,"Cocodrilo Dundee en Los Angeles, Bad Boy Bubby",Reparto,Australian Film Institute
Isaac Crawley,0,"Squids, Vecinos",Reparto,0
Ada Szczepaniak,0,"Dewajtis, Polowanie na cmy",Reparto,0
Nadine Ignas,0,0,Reparto,0
Cezary Lukaszewicz,1981,"Ja teraz klamie, Bracia",Reparto,0
Julia Kijowska,1981,"Milosc, Fisheye","Reparto,  Guion,  Equipos adicionales","Guldbagge Awards, Thessaloniki Film Festival"
Stanislaw Linowski,0,"When Fucking Spring is in the Air, Monstruos de Cracovia","Reparto,  Banda sonora",0
Lyubov Bakhankova,0,"Elizium, Pozyvnoy «Passazhir»",Reparto,0
Maksim Derichev,0,"Vyzhivshie. Podrostki, Predok",Reparto,0
Aleksey Dmitriev,1976,"La isla habitada, La fortaleza Brest",Reparto,0
Soslan Fidarov,0,"Na igre, Cold Shores",Reparto,0
Andrey Fomin,0,"Plattenbau rebels, Kak menya zovut",Reparto,0
Huynh Vu Minh Khue,0,0,Guion,0
Trong Hieu Nguyen,0,0,Guion,0
Valeriy Afanasev,1949,"Nauchnaya sektsiya pilotov, Golondrinas de la noche",Reparto,"""Peoples Artist of Russian Federation"""
Vadim Andreev,1958,"Otryad «D», Dikiy","Reparto,  Equipos adicionales",0
Evgeniy Antonov,0,"Morskiye dyalovy: Rubezhi rodiny, Juzni vetar: Na granici",Reparto,0
Sergey Aprelskiy,0,"Voroshilovskiy strelok, Dalnoboyshchiki",Reparto,0
Sofiya Ardashnikova,0,0,Reparto,0
Marat Abdrakhimov,0,"Neposlushnaya, Kulachnyy",Reparto,0
Daulet Abdygaporov,0,"Shu-Chu, Zabludivshiysya",Reparto,0
Evgeniy Antropov,1986,"Pereval Dyatlova, Obratimaya realnost",Reparto,Asia Pacific Screen Awards
Andrey Bogatyrev,0,"Iuda, Krasnyy prizrak","Dirección,  Reparto,  Guion","Moscow International Film Festival, Valladolid International Film Festival"
Dmitriy Bykovskiy-Romashov,1969,"Leviatán, Mentovskie voyny",Reparto,0
Prakash Shaw,0,0,Reparto,0
Arpan Dutta,0,0,Reparto,0
Deep Nigam,0,0,Reparto,0
Subhash Pachisia,0,0,Reparto,0
