actor_name,birth_year,known_for,actor_role,actor_awards
Kento Handa,none,"Gekijôban Kamen Raidâ 555: Paradaisu rosuto, Super Hero Taisen GP: Kamen Rider 3",Reparto,None
Yuria Haga,none,"Gekijôban Kamen Raidâ 555: Paradaisu rosuto, Kamen raidâ Kiba",Reparto,None
Rumika Fukuda,none,"Kamen Rider 555 20th: Paradise Regained, One-Percent Warrior",Reparto,None
Daiji Asakawa,none,"Papa ga Mo Ichido Koi wo Shita, Kamen Rider 555: Murder Case",Reparto,None
Rui Yanagawa,none,"Kamen Rider 555 20th: Paradise Regained, Kamen Rider 555: Murder Case",Reparto,None
Nolan Mick,none,"Maybe I Am the Villain, Fresh Catch","Diseño de producción,  Arte,  Dirección de arte",None
Itzel J. Velázquez Martínez,none,"Titanes, Orphan Black: Echoes","Guion y continuidad,  Reparto,  Arte",None
Marc Rico Ludwig,none,"Maybe I Am the Villain, The Greater Good",Reparto,AltFF Alternative Film Festival
Meeland Nicola,none,Down to Earth,Reparto,None
Ravi Teja,1968,"Neninthe, Disco Raja","Reparto,  Música,  Producción","Filmfare Awards South, CineMAA Awards"
Anupama Parameswaran,1996,"Premam, Premam",Reparto,"Filmfare Awards South, South Indian International Movie Awards"
Navdeep,1986,"Ala Vaikunthapurramuloo, Arindhum Ariyamalum","Reparto,  Composición","Conocido/a por, Más de esta persona"
Srinivas Avasarala,1984,"Oohalu Gusagusalade, Kalki 2898-AD","Reparto,  Guion,  Dirección","Filmfare Awards South, South Indian International Movie Awards"
Madhoo,1969,"Phool Aur Kaante, Thalaivi",Reparto,"Filmfare Awards South, Tamil Nadu State Film Awards, India"
Scott Adkins,1976,"Turno de día, Boyka: Invicto 4","Reparto,  Producción,  Especialistas","Santa Monica Film Festival, Action on Film International Film Festival, USA"
Alice Eve,1982,"Star Trek: En la oscuridad, Ni en sueños","Reparto,  Producción,  Dirección",Newport Beach Film Festival
Jack Parr,none,"Peaky Blinders, Emmerdale","Reparto,  Guion,  Dirección","The Monthly Film Festival (TMFF), The Monkey Bread Tree Film Awards"
Billy Clements,1984,"Fast & Furious X, Tenet","Especialistas,  Reparto",Screen Actors Guild Awards
Adah Sharma,1989,"1920, Commando",Reparto,"Filmfare Awards, Zee Cine Awards"
Purnendu Bhattacharya,none,"Talvar, Children of War",Reparto,FOI Online Awards
Anangsha Biswas,1990,"Mirapur, Taxi No. 24",Reparto,"Screen Awards, IN"
Sanjay Borkar,none,"Maska, Duranga",Reparto,None
Manav Vij,1977,"Udta Punjab, Gunjan Saxena: La chica de Kargil",Reparto,"PTC Punjabi Film Awards, Hitlist OTT Awards"
Suvinder Vicky,1973,"El cuentakilómetros, Udta Punjab",Reparto,"Singapore International Film Festival, Indian Television Academy Awards, India"
Yograj Singh,1958,"Vichhora, Yaar Maar","Reparto,  Dirección,  Guion",None
Dhanveer Singh,none,"State of Siege: Temple Attack, Dasvi",Reparto,None
Isha Rikhi,none,"Rode College, Laddu Barfi",Reparto,None
Venkat Bharadwaj,none,"Naguvina Hoogala Mele, Bablusha","Dirección,  Guion,  Reparto",None
Diganth Dhanush,none,,Reparto,None
Sunethra Gopal,none,,Reparto,None
Vandana Hegde,none,,Reparto,None
Pramod Hiremath,none,,Reparto,None
