actor_name,birth_year,know_for,actor_role,actor_awards
Karen Barredo,none,"Go Back Home!, Ask Me A Question",Reparto,None
Emma Cavell,none,"Kingsman: El círculo de oro, Yes! Recruitment","Reparto,  Efectos visuales,  Dirección de la segunda unidad o asistencia a dirección",None
Monika Chasi,none,"Clark, Right Move","Reparto,  Producción",None
Guglielmo Maria D'Avino,none,"Sounds Like A Great Project!, Il Cazzo Che Ti Pare","Reparto,  Música",Southern Shorts Awards
Carys G. Daroy,none,Ask Me A Question,Reparto,None
Ra Mi-ran,1975,"Sympathy for Lady Vengeance, Hope",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Gong Myoung,1994,"Honsoolnamnyeo, Habaekui Shinboo","Reparto,  Composición","Grand Bell Awards, South Korea, Baek Sang Art Awards"
Yeom Hye-ran,1976,"A la caza de espíritus malignos, La chica enmascarada",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Park Byeong-eun,1977,"The Yellow Sea, Seobok",Reparto,None
Jang Yoon-ju,1980,"Three Sisters, Bailarina",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Natsuki Hanae,1991,"Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito, Starmyu","Reparto,  Música,  Equipos adicionales","Crunchyroll Anime Awards, Anime Trending Awards"
Kengo Kawanishi,none,"Aldnoah.Zero, Naruto: Shippûden","Reparto,  Banda sonora",Anime Trending Awards
Akari Kitô,none,"Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito, Kyokou Suiri","Reparto,  Música,  Banda sonora",Anime Trending Awards
Yoshitsugu Matsuoka,1986,"Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito, Hakata Tonkotsu Ramens","Reparto,  Música,  Arte",Anime Trending Awards
Hiro Shimono,none,"Ataque a los titanes, End of Eternity","Reparto,  Banda sonora",Anime Trending Awards
Shakib Khan,1979,"Bhalobaslei Ghor Bandha Jay Na, Khodar Pore Ma","Reparto,  Producción,  Dirección","National Film Awards, Bangladesh"
Mimi Chakraborty,1989,"Baazi, SOS Kolkata",Reparto,None
Chanchal Chowdhury,none,"Monpura, Hawa","Reparto,  Música","National Film Awards, Bangladesh"
Masuma Rahman Nabila,none,"Toofan, Aynabaji Original Series",Reparto,None
Yuri Kolokolnikov,1980,"Tenet, El otro guardaespaldas","Reparto,  Producción","Nika Awards, SUBTITLE European Film Festival"
Daniil Vorobyov,1981,"Riviera, Posledniy ronin","Reparto,  Guion",Riviera International Film Festival
Tikhon Zhiznevskiy,1988,"Posledniy ronin, Mayor Grom. Igra",Reparto,None
Diana Enakaeva,none,"Cosmoball, ""A Killers Mind""",Reparto,None
Aleksandr Mizev,1991,"Sansara, Masha",Reparto,None
Alexander Sandoval Tapia,none,"Cacophony the Animated Series, Max COOL Show!","Dirección,  Reparto,  Animación",None
Pradeep Raj,none,"Target India, Prayag",Reparto,None
Satyakam Anand,none,"Sherni, Lets Fly with My Paper Rocket","Reparto,  Producción",None
Mahesh Balraj,1975,"Haider, PK","Reparto,  Casting,  Equipos adicionales",None
Ashutosh Sagar,none,"Ek Battey Do, Love Way","Reparto,  Dirección,  Guion",None
Peter Pham,none,"Vo Sinh Dai Chien, Hoa Phong Nguyet Vu","Reparto,  Especialistas,  Dirección",None
Silvio Simac,1973,"DOA: Dead or Alive, Fairygirl-Origin","Reparto,  Producción,  Especialistas","New York International Film Awards, Andromeda Film Festival"
Simon Kook,none,"Ip Man 3, The Great Escape","Reparto,  Especialistas",None
Ado Dulas,none,"Elephant Stomp, The Magnetic Fighters","Reparto,  Producción,  Dirección",None
Pavel Skliar,none,The Magnetic Fighters,Reparto,None
Joshua Carter,none,"Glitched, The Crypto","Producción,  Guion,  Dirección",None
Jace Carter,none,"The Crypto, House",Reparto,None
Jordyn Barnett,none,,Reparto,None
Christian Hernandez,none,,Reparto,None
Blerim Destani,1981,"El último gran día, Etjet e Kosovës","Reparto,  Producción,  Guion",CinEuphoria Awards
Noizy,none,"Noizy Feat. Elgit Doda: Ti Ti, Predz UK - Naughty Naughty","Reparto,  Composición,  Guion",None
Arben Bajraktaraj,1973,"Harry Potter y las Reliquias de la Muerte: Parte 1, Harry Potter y la Orden del Fénix","Reparto,  Producción","MTV Movie + TV Awards, Sarajevo Film Festival"
Flonja Kodheli,none,"Helvetica, Ka Me Kalu","Reparto,  Composición,  Dirección",None
James Biberi,none,"Dead Man Down, Los productores","Reparto,  Producción,  Guion",Hermosa Beach Film Festival
Chen Bo-lin,1983,"Tai bei piao xue, My Airhostess Roommate","Reparto,  Música,  Equipo ejecutivo","Golden Horse Film Festival, Monaco International Film Festival"
Kent Tsai,1997,"Tong Ling Shao Nv, Hei de jiào yù",Reparto,"Golden Horse Film Festival, Taipei Film Festival"
J.C. Lin,1991,"Wo men yu e de ju li, Demon Hunters",Reparto,"Golden Bell Awards, Taiwan, Film Fest International, Nice"
Frederick Ming Zhong Lee,1976,"Tai wan fan zui gu shi, Fly By Night",Reparto,"Taipei Film Festival, Malaysian Film Festival"
Cecilia Choi,none,"Fan xiao, Twilight of the Warriors: Walled In",Reparto,"Hong Kong Film Awards, Hong Kong Film Critics Society Awards"
Alexandre Machafer,none,"Jorge da Capadócia, Anos Radicais","Dirección,  Producción,  Reparto",None
Roberto Bomtempo,1963,"Tolerância, Chamas da Vida","Reparto,  Dirección,  Producción","Brazilia Festival of Brazilian Cinema, Cartagena Film Festival"
Ricardo Soares,none,,"Reparto,  Dirección de casting,  Dirección","Best Istanbul Film Festival, Vesuvius International Film Festival"
Cyria Coentro,none,"Era Uma Vez..., Velho Chico","Reparto,  Equipos adicionales","Prêmio Qualidade, Brazil, PRODU Awards"
Roney Villela,none,"Meu Nome Não é Johnny, Novo Mundo",Reparto,None
Arpan Das,none,"OMG 2, Tiger está vivo",Reparto,None
