id_imdb,type,name,release_year,release_month,genre
tt32117544,Movie,Blazed to the Max,2024,4,Comedy
tt32119112,Movie,COMBAT Code: Hunt,2024,4,Comedy
tt32119308,Movie,The Shakedown,2024,8,Comedy
tt32127524,Movie,Takan Takana,2024,11,Comedy
tt32125120,Movie,Veda Partisi,2024,6,Comedy
tt32128317,Movie,The Other Way Around,2024,8,Comedy
tt32130925,Movie,Nenu Keerthana,2024,,Comedy
tt32133006,Movie,Fasel Men El Lahazat El Lazeeza,2024,4,Comedy
tt32135407,Movie,Kyuka: Before Summer's End,2024,5,Comedy
tt32138755,Movie,Cuadrilátero,2024,3,Comedy
tt32138825,Movie,Vidura BR: French Kiss Tunnel,2024,4,Comedy
tt32146333,Movie,Group Therapy,2024,6,Comedy
tt32147189,Movie,Memes & Nightmares,2024,6,Comedy
tt32150467,Movie,They're Here,2024,6,Comedy
tt32151957,Movie,Jhamkudi,2024,5,Comedy
tt32152041,Movie,Builder Boys,2024,7,Comedy
tt32144479,Movie,Bichos Muy Raros,2024,4,Comedy
tt32151850,Movie,Boonie Bears: Mumma Ki Khoj,2024,,Comedy
tt32153490,Movie,Torun Davasi,2024,4,Comedy
tt32154050,Movie,Para Nerede,2024,4,Comedy
tt32155501,Movie,Rajakaran Gela Mishit,2024,4,Comedy
tt32158511,Movie,I Need Your Love,2024,6,Comedy
tt32159566,Movie,Shabab Albomb,2024,4,Comedy
tt32160317,Movie,Jama,2024,2,Comedy
tt32161271,Movie,No More Awesome Action Movies,2024,12,Comedy
tt32161887,Movie,Vampires Saga,2024,,Comedy
tt32162245,Movie,Ciftligimin Hanimi,2024,4,Comedy
tt32166005,Movie,Chapter 51,2024,4,Comedy
tt32167216,Movie,A Country Called Ghana,2024,5,Comedy
tt32173702,Movie,Il posto,2024,4,Comedy
tt32173957,Movie,"I Said, Don't!",2024,4,Comedy
tt32175239,Movie,JAPA,2024,3,Comedy
tt32175399,Movie,Pilot,2024,7,Comedy
tt32179421,Movie,De Bellinga's: Pretpark op stelten,2024,7,Comedy
tt32187034,Movie,Moyo sobache delo,2024,12,Comedy
tt32187312,Movie,The Linguini Incident-- Director's Cut,2024,5,Comedy
tt32187313,Movie,I Want You to Panic!,2024,none,Comedy
tt32188155,Movie,Flat Blood,2024,none,Comedy
