actor_name,birth_year,know_for,actor_role,actor_awards
Matthew R. Corbett,none,"Chimera, I Love You Silently","Producción,  Reparto,  Guion",Austin Comedy Film Festival
Joshua Radford,none,"Chimera, Derek Is Funny","Reparto,  Producción,  Dirección","FilmQuest, Austin Comedy Film Festival"
Honor Davis-Pye,2009,"Decrypted, The Surgeon",Reparto,None
Sarah Lockett,none,,Reparto,None
Jake Kemp,none,"The Can, Punchbag",Reparto,None
Louisa Robinson,none,"""Ms Broomes Secret"", Cubicle","Reparto,  Localización,  Equipos adicionales",None
Denis Moldovean,none,"Christmas at the Royal Hotel, High Rise Demise",Reparto,None
Stephen J. Hooker,none,"Worst Agents Ever, My Awkward Youth","Reparto,  Guion,  Dirección",None
Katabelle,1993,"Blade & Soul Revolution, Fantasy Strike",Reparto,None
Sean Antony,none,"Miitopia, Lego Ninjago: The Blueprints",Reparto,None
Dave Soltura,none,,Reparto,None
Ilja Baumeier,none,,"Reparto,  Dirección,  Producción","Couch Film Festival, Greece International Film Festival"
Kay Kysela,none,"En el lugar del crimen, Finsteres Glück",Reparto,None
Kaija Ledergerber,none,"Alpha., 2059","Reparto,  Dirección,  Equipos adicionales",None
PJ Beigh,none,,Reparto,None
Alex Koenigsberg,none,,Reparto,None
Brendan Mohen,none,,Reparto,None
Akiko Fujiwara,none,Delicacies,"Reparto,  Producción",None
Mendel Abehsera,none,"Closure, Delicacies",Reparto,None
Mark Yowakim,none,"Qué asco de todo, Tides of Wyrd",Reparto,None
Dean Scotti,none,"The Bitch in 4B, Portrait of Vengeance",Reparto,None
Francheska Baez,none,,Reparto,None
Adrien Baudon,none,"""The Devils Ball"", Nail in the Coffin",Reparto,None
Philip Bayntun,none,"Loved, A Bigger Bear",Reparto,None
Hannah Dormor,none,Nail in the Coffin,Reparto,None
Simon Ellis,none,"HrtXbrk, Ecaps","Reparto,  Equipos adicionales,  Especialistas",None
Josh Swarbrick,none,"Toby, Pounds for Piggies",Reparto,None
Jayden Robinson,none,"Doctor Who: Task Force T.R.I.E.S., Hunted","Reparto,  Producción","Conocido/a por, Más de esta persona"
Sydney Siratt,none,"The Revenge of Wii Play 2: World War Wii, Memento Mori","Reparto,  Dirección,  Edición",None
Alexander Williamson,none,"Jayden Tries 2: Save the World Again, Better Call Tries","Reparto,  Edición",None
Sam Burrows,none,"Doctor Who: Reign of the Golden Age, The Otamatone Project 3: Age of Jon Ron Kelly","Reparto,  Cámara y electricidad",None
Alexia Mourao,none,"The Revenge of Wii Play 2: World War Wii, ""Alex and Ethans Multiversal Misadventures""",Reparto,None
Diana Alvort,none,"The Sovereign, Letting Go","Reparto,  Composición,  Guion",None
Ziggy Baran,none,"Displacement, The Life of Riley","Reparto,  Equipos adicionales",None
Sandi Eberhardt,none,"Storytime with Gambit and Rogue, Buzz Kill",Reparto,"Florida Shorts, Berlin Shorts Award"
Anton Nassif,none,"Falling Up, A Christmas Frequency","Reparto,  Guion",IndieX Film Festival
Michael Rzepka,none,,Reparto,None
Ian Farley,none,"The Race Card Game, Choked Up!","Guion,  Edición,  Reparto",London World-Wide Comedy Short Film Festival
Joshua Han,none,"Club Kaylie, The Tale of the North Hollywood Shark","Reparto,  Producción,  Guion","One-Reeler Short Film Competition, London World-Wide Comedy Short Film Festival"
Rey Marz,none,"Dr. On, The Two Professors","Reparto,  Edición,  Dirección",London World-Wide Comedy Short Film Festival
Helen Cheng,none,DEMONSTRATOR - Nos Escupen,"Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Nicole Marie Hunt,none,"Affliction, The Social Worker",Reparto,"IndieFEST Film Awards, Top Shorts Film Festival"
DaQuan Johnakin,none,,Reparto,None
Steven Curtis Jones,none,"Check, Please! The Web Series, Relatos del más allá",Reparto,None
Isaac Kelly,none,The Morning After,"Reparto,  Dirección de fotografía y cámara",None
Amir Hossein Amirian,none,"Poop, The Great Silence","Reparto,  Efectos visuales,  Diseño de producción",None
Butch Copeland,none,"Spaghetti Junction, Stargirl","Reparto,  Producción",None
Cheryl Holifield,none,"How to Make a Werewolf, BTS","Reparto,  Sonido,  Equipos adicionales",None
Amanda Jean,none,,Reparto,None
Don-Dimitri Joseph,none,"Gotham Knights, Enjambre","Reparto,  Dirección,  Producción",Indie Series Awards
Muhaymin Luckett,none,"Premeditated, Future Plans","Dirección,  Guion,  Dirección de fotografía y cámara",None
Adrian Lukis,1958,"Orgullo y prejuicio, Back Home","Reparto,  Guion,  Banda sonora",None
Chris Leask,none,"Peter Pan Goes Wrong, The Ark","Reparto,  Guion,  Producción",None
