actor_name,birth_year,known_for,actor_role,actor_awards
Keith Kupferer,none,"Camino a la perdición, Viudas",Reparto,"Seattle International Film Festival, Accolade Competition"
Katherine Mallen Kupferer,none,"Viudas, Fools",Reparto,Seattle International Film Festival
Tara Mallen,none,"Sense8, Chicago P.D.",Reparto,None
Dolly De Leon,1969,"Ang duyan ng magiting, Verdict","Reparto,  Equipos adicionales,  Dirección de la segunda unidad o asistencia a dirección","FAP Awards, Philippines, BAFTA Awards"
Hanna Dworkin,none,"Sense8, Chicago P.D.",Reparto,None
Malhar Thakar,none,"Love Ni Bhavai, Sonu Tane Mara Par Bharoso Nai Ke","Reparto,  Producción",None
Puja Joshi,none,"Love Atrangi, Aavuj Reshe",Reparto,None
Mitra Gadhvi,none,"Daav Thai Gayo Yaar, Ventilator","Reparto,  Guion",None
Nijal Modi,none,"Sonu Tane Mara Par Bharoso Nai Ke, Lagan Special","Reparto,  Dirección de producción",None
Ragi Jani,none,"Haju Samay Chhe, Samji Jao to Saru..., Daud Pakad","Reparto,  Dirección,  Guion",None
Luis Amália,none,"Tea with Lemon, Buzzcut make me the moon, make my body internet","Reparto,  Arte",None
Dave Darko,none,"Remember Me, The Tormented","Maquillaje,  Reparto,  Efectos especiales","Independent Horror Movie Awards, The Yellow Fever Independent Film Festival"
Scott Erlendson,none,,Reparto,None
Miguel Andrew Fish,none,,Reparto,None
Roxanne Gregory,none,"Bob, Drop Outs",Reparto,None
Rudi De Cock,none,,Reparto,None
Pascale De Sutter,none,,Reparto,None
Iris Dekeersgieter,none,,Reparto,None
Alain Delanghe,none,,Reparto,None
Anita Desport,none,,Reparto,None
Ra Mi-ran,1975,"Sympathy for Lady Vengeance, Hope",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Gong Myoung,1994,"Honsoolnamnyeo, Habaekui Shinboo","Reparto,  Composición","Grand Bell Awards, South Korea, Baek Sang Art Awards"
Yeom Hye-ran,1976,"A la caza de espíritus malignos, La chica enmascarada",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Park Byeong-eun,1977,"The Yellow Sea, Seobok",Reparto,None
Jang Yoon-ju,1980,"Three Sisters, Bailarina",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Siti Fauziah,none,"Tilik, Dating Queen",Reparto,"Maya Awards, Festival Film Bandung"
Aditya Lakon,none,"Tumbal Kanjeng Iblis, Bu Tejo Sowan Jakarta",Reparto,None
Brilliana Desy D.,none,"Ziarah, Love of Fate",Reparto,None
Putri Munjo,none,"Scandal Makers, Bu Tejo Sowan Jakarta",Reparto,None
Dyah Mulani,none,"The East, Bu Tejo Sowan Jakarta",Reparto,None
