actor_name,birth_year,know_for,actor_role,actor_awards
Daniel Berlioux,none,"Que notre joie demeure, El último día",Reparto,None
Oussem Kadri,none,"Que notre joie demeure, La couleur dans les mains",Reparto,None
Majida Ghomari,none,"Mon fils Malik, The Infallibles",Reparto,None
Véronique Frumy,none,"Las dos caras de la justicia, Quisiera que alguien me esperara en algún lugar",Reparto,None
Sofiane Kaddour,none,,Reparto,None
Sergejs Brusovs,none,,Reparto,None
Dace Eversa,none,"Senotaji, Vilkacu mantiniece",Reparto,Latvian National Film Festival
Arnolds Osis,none,"Dragoons, Suns kurs prata dziedat",Reparto,None
Elizabete Skrastina,none,"Mazora dienas, minora naktis, Mi padre, el espía",Reparto,None
Inga Tropa,none,"River of Fear, Dragoons",Reparto,Latvian National Film Festival
Tatiana Becquet Genel,none,"Je, Cérémonie secrète","Dirección,  Guion,  Reparto",None
Valérie Moinet,none,"La source, Cérémonie secrète","Reparto,  Equipos adicionales",None
Bensimon Zoe,none,,Reparto,None
Vidal Julia,none,,Reparto,None
Stephen Bishop,none,"Tesoro del Amazonas, Battleship","Reparto,  Producción",San Diego Movie Awards
Raquel Justice,2004,,"Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Josh Ventura,none,"P-Valley, El escuadrón suicida","Reparto,  Producción,  Especialistas",None
Columbus Short,1982,"Terror en la Antártida, Ritmo Salvaje","Reparto,  Producción,  Guion","Image Awards (NAACP), MTV Movie + TV Awards"
David Banner,none,"Footloose, El mayordomo","Reparto,  Composición,  Producción",Grammy Awards
Mike Ajide,none,"FanGirl, Kill Em with A Smile",Reparto,None
Charity Lovely Badazz Alston,none,"Kill Em with A Smile, Too Little Too Late",Reparto,None
Jaquira Alston,none,"How 2 Catch A Baller, Sneaky Links",Reparto,None
Krist Austin,none,,Reparto,None
Crystal Beharry,none,"How 2 Catch A Baller, He Loves Me Not",Reparto,None
Aytaç Sasmaz,1998,"Söz, Ask Tesadüfleri Sever 2","Reparto,  Banda sonora","Pantene Golden Butterfly Awards, Turkey Youth Awards"
Sümeyye Aydogan,none,"Taçsiz Prenses, Kirmizi Kamyon",Reparto,None
Ferit Aktug,1978,"Ah Nerede, Pilav Üstü Ask",Reparto,"Sadri Alisik Theatre and Cinema Awards, Pantene Golden Butterfly Awards"
Belçim Bilgin,1983,"Kurtulus Son Durak, Sessiz - Be Deng","Reparto,  Diseño de vestuario,  Producción","Milano International Film Festival Awards (MIFF Awards), Oaxaca FilmFest, MX"
Artyom Bocharov,none,"YA delayu shag, Bolshe, chem futbol",Reparto,None
Evgeniy Bogdanov,none,"Istrebiteli. Bitva za Krym, Admiral Kuznetsov",Reparto,None
Denis Davydov,none,"Nenormalnyy, YUG",Reparto,None
Olga Kalashinikova,none,"V dvukh shagakh ot schastya, Spasskaya",Reparto,None
Natalya Kudryashova,1978,"El hombre que sorprendió a todo el mundo, Petersburg. Only for love","Reparto,  Dirección,  Guion","Berlin International Film Festival, Honfleur Festival of Russian Cinema"
Alex Lutz,1978,"Une nuit, Le talent de mes amis","Reparto,  Guion,  Dirección","César Awards, France, French Syndicate of Cinema Critics"
Léa Drucker,1972,"Custodia compartida, ""Lhomme de sa vie""","Reparto,  Dirección,  Guion","César Awards, France, Lumiere Awards, France"
Nora Hamzawi,1983,"Éléonore, ""Lex de ma vie""","Reparto,  Producción","Cabourg Romantic Film Festival, International Online Cinema Awards (INOCA)"
Louise Chevillotte,none,"Sinónimos, El acontecimiento",Reparto,None
Arcadi Radeff,none,"Délits mineurs, Passages",Reparto,Schweizer Fernsehfilmpreis
Elaine Aikens,none,"FanGirl, Kill Em with A Smile",Reparto,None
Mike Ajide,none,"FanGirl, Kill Em with A Smile",Reparto,None
Chelle Alexis,none,No New Friends,Reparto,None
Charity Lovely Badazz Alston,none,"Kill Em with A Smile, Too Little Too Late",Reparto,None
Jaquira Alston,none,"How 2 Catch A Baller, Sneaky Links",Reparto,None
Emilio Sakraya,1996,"Corazones sin riendas, 4 Blocks","Reparto,  Banda sonora","Berlin International Film Festival, Günter Strack TV Award"
Dennis Mojen,1993,"La fábrica de sueños, Into the Night",Reparto,"Günter Strack TV Award, New Faces Awards, Germany"
Marie Mouroum,none,"Sin tiempo para morir, Vengadores: Endgame","Especialistas,  Reparto",Screen Actors Guild Awards
Paul Wollin,none,"Toro, Dogs of Berlin",Reparto,Hof International Film Festival
Florian Schmidtke,none,"Bárbaros, Sangre y oro",Reparto,None
DeShaude Barner,none,"A Stone Cold Christmas, Party from Hell",Reparto,"Indie Series Awards, Rohip International Film Festival"
Alikona Shizue Bradford,none,"One Under the Sun, Ultimate Tag","Reparto,  Producción,  Guion","Rohip International Film Festival, Birsamunda International Film Awards"
Genevieve Fekson,none,"Waiting, Sugarbug","Reparto,  Producción","Rohip International Film Festival, Birsamunda International Film Awards"
Dianna Renée,none,"Blood Pageant, Elvis from Outer Space","Reparto,  Dirección,  Producción","Bridge Fest, Vancouver, Studio City Film Festival, US"
