actor_name,birth_year,known_for,actor_role,actor_awards
Noel Appleby,1901,"El señor de los anillos: El retorno del rey, Navigator, una odisea en el tiempo",Reparto,New Zealand Film and TV Awards (I)
Ali Astin,1996,"Bad Kids of Crestview Academy, Matter of Time","Reparto,  Banda sonora",None
Sean Astin,1971,"El señor de los anillos: El retorno del rey, El señor de los anillos: La comunidad del anillo","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
David Aston,1901,"El señor de los anillos: El retorno del rey, Underworld: La rebelión de los licántropos",Reparto,None
John Bach,1946,"Farscape: Las guerras pacificadoras, El señor de los anillos: El retorno del rey","Reparto,  Equipos adicionales","New Zealand Film and TV Awards (I), New Zealand Film and TV Awards (II)"
Kevin Spacey,1959,"Sospechosos habituales, American Beauty","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Annette Bening,1958,"Mujeres del siglo XX, Los chicos están bien","Reparto,  Producción,  Banda sonora","Academy Awards, USA, American Comedy Awards, USA"
Thora Birch,1982,"American Beauty, El retorno de las brujas","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Blockbuster Entertainment Awards"
Wes Bentley,1978,"Los juegos del hambre, Interstellar","Reparto,  Producción,  Banda sonora","Blockbuster Entertainment Awards, BAFTA Awards"
Mena Suvari,1979,"American Pie, Un perdedor con suerte","Reparto,  Producción,  Banda sonora","Blockbuster Entertainment Awards, BAFTA Awards"
Russell Crowe,1964,"Gladiator, Una mente maravillosa","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Joaquin Phoenix,1974,"Gladiator, Her","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Connie Nielsen,1965,"Retratos de una obsesión, Basic","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Blockbuster Entertainment Awards"
Oliver Reed,1938,"Oliver, Cromosoma 3","Reparto,  Banda sonora","BAFTA Awards, CableACE Awards"
Richard Harris,1930,"Sin perdón, Camelot","Reparto,  Producción,  Dirección","Academy Awards, USA, Berlin International Film Festival"
Russell Crowe,1964,"Gladiator, Una mente maravillosa","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
