id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt32356982,8.3,0,none,none,"Savi, a simple housewife, attempts a daring jailbreak to get her husband out of one of England's high security prisons, with 400 inmates, 75 armed guards, 60 surveillance cameras.",126,Savi
tt32365822,7.3,0,Norman Maake,Norman Maake,A former contract killer reckons with his past as he tries to save a troubled young woman.,101,Inkabi
tt32368060,9.8,0,Adari Murthy Sai,Adari Murthy Sai,none,119,Dirty Fellow
tt32368135,5.1,42,Chatchai Hongsirikun,Kemisara Paladesh,"When four teenage friends go on a camping trip during spring break, an unfortunate accident sets off a race against time to save one's most prized possession.",0,The Package
tt32369814,0.0,0,none,none,none,0,Desi Fantom (Punjabi)
tt32386443,5.4,0,Qilin Li,Qilin Li,none,90,Mutant
tt32393172,0.0,0,Albert Langitan,Albert Langitan,"After being kicked out her home for revealing a horrific family secret, Karma has no other choice but to turn to the streets for survival.",111,Karma
tt32393674,0.0,0,Mario DeAngelis,Blake Casselman,none,68,Surge of Power: Where There's Smoke
tt32394692,0.0,0,Paige Compton,Diana Cambronero,none,0,"Fool Me Once, Revenge on You"
tt32400006,0.0,0,Ryan Dishon,Ryan Dishon,none,51,Bloods of Glasgow
tt32429521,8.1,0,Uygur Akkaya,Uygur Akkaya,none,133,Dünya Mali - Eksi Bir
tt32434930,0.0,0,Jackson Gutiérrez,Jackson Gutiérrez,none,0,Azotes de Barrio 2
tt32439604,0.0,0,Haipeng Sun,Haipeng Sun,none,0,Xiong Shi Shao Nian 2
tt32446009,0.0,0,Yûichi Fukuda,Yûichi Fukuda,none,0,Saint Oniisan: The Movie ~Holy Men vs Akuma Gundan
tt32453990,0.0,0,Mridul Chhibber,Mridul Chhibber,none,47,Bring Back the Colour
tt32477753,0.0,0,Masami Shimoda,Takehiko Itô,none,0,Zêgapein STA
tt32483165,0.0,0,John Gabito Angel,John Gabito Angel,none,0,El Otro Joaquín
tt32483425,0.0,0,Dr. Z,Dr. Z,none,95,"The Triangulation of Olga, Miyoko & Latoiya"
tt32491118,8.2,0,none,none,"A former soldier is recruited for his toughest mission yet -- teaching a class of teen delinquents. As he kicks his way into their school and home lives, it becomes clear that his unconventional teaching style might be just what they need.",115,Big Brother
tt32452631,0.0,0,Callum Chiplin,Callum Chiplin,none,0,Aquila
tt32524819,0.0,0,Brad Thomasson,Brad Thomasson,none,0,Jurassic Juggernauts
tt32525522,0.0,0,Mark Polonia,Mark Polonia,A group of researchers finds the mummified remains of an alien shark in the chambers of an ancient Egyptian pyramid. A vengeful mystic brings the beast back to life.,0,Mummy Shark
tt32536035,8.3,0,Joshua Santes,Joshua Santes,none,105,The Yoshi Movie
tt32552613,0.0,0,Quentin Ziare Perryman,Darren Nudie Robinson,"Ria is an up and coming female boxer whose one and only focus is to be the best boxer alive. That's until she meets Tuga, who shows her that a life without love really isn't a life at all.",0,Boxed in
tt32559640,0.0,0,Cousins Brothers,Apolla Asteria,none,97,Day of the Wicked
tt32563064,0.0,0,Scott Rivers,Scott Rivers,none,51,Outcome
tt32575647,0.0,0,none,none,none,0,King of UP
tt32579058,0.0,0,none,none,none,61,Sin reglas... combate a muerte
tt32589718,0.0,0,none,none,none,0,Lakeside's Mission: Impossible
tt32589808,3.9,0,Mustafizur Rahman Manik,Delowar Hossain Dil,A retired Los Angeles detective (Michael Paré) investigates a series of missing-person cases with his ex-partner.,135,Dark World
tt32592573,0.0,0,none,none,none,115,A Hero is Born
tt32600501,1.3,93,Mohammad Iqbal,Abdullah Zahir Babu,"Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced hunting trip. As tension mounts in the house, the situation abruptly and viciously intensifies, culminating in a shocking act that leaves Jen left for dead. Unfortunately for her assailants, she survives and soon begins a relentless quest for bloody revenge.",127,Revenge
tt32381152,0.0,0,Rasheed Lanier,Louis McKnight,"Young lovers (Romy Schneider, Paolo Giusti) try to kill her boozing older husband (Rod Steiger) on the Riviera.",0,Dirty Hands
tt32382919,0.0,0,Yugo Sakamoto,Yugo Sakamoto,none,103,Baby Walkure: Naisu Deizu
tt32409978,0.0,0,Azhari Mohd Zain,Gawar Sawba'yah,none,90,Abnormal: Buas
tt32573817,0.0,0,Zhou Jing,Zhang Di,none,84,Firewire Sniper
tt32635465,0.0,0,none,none,"A police sergeant (John P. Ryan) and his brother, separated at birth, become pawns in a game of good vs. evil.",92,City of Shadows
tt32635877,0.0,0,none,none,none,90,Widowmaker
tt32637137,0.0,0,Calvin Sang,Ankita Singh,none,23,Give Me Babies
tt32641580,0.0,0,Ram Kumar,Bhavya Sri,none,0,Bagundi
tt32642556,0.0,0,none,none,none,95,Mafia wars
tt32642579,0.0,0,none,none,none,0,none
tt32642807,0.0,0,Julie Ojeda-Nin,Julie Ojeda-Nin,0,0,Young Love
tt32649985,0.0,0,Jomi Santelises,Jomi Santelises,none,46,La Venganza De Una Madre
tt32658244,0.0,0,Mohan Prasat,Mohan Prasat,none,0,Preventer
tt32677501,0.0,0,K.S. Karthik,K.S. Karthik,none,0,Sathaan
tt32732455,0.0,0,J. PaulTheDemiGod,J. PaulTheDemiGod,none,0,The Perfect Side Order
tt32739984,0.0,0,Adem Ballew,Adem Ballew,none,0,The Pie Man
tt32750439,0.0,0,none,none,none,0,Operation Undead
tt32752865,0.0,0,Yasuhiro Nowatari,Toshiki Inoue,none,82,Dragon Ball Z Kai
tt32732946,0.0,0,Kasper Öhman,Kasper Öhman,none,17,The Asterocup
tt32740573,0.0,0,none,none,"Upon arriving at the family's deserted farm, a family is preyed upon by a creature that hunts by sound.",0,Don't Speak
tt32690083,0.0,0,Chung-Hyun Lee,Enhypen,none,12,Enhypen Untold
tt32749380,0.0,0,Nicolas F. Costoglou,Nicolas F. Costoglou,"A gay single dad and his offbeat 8-year-old daughter struggle to come to terms with his fabulous past life, which he's kept hidden from her for years.",10,Pretty Things
tt32759800,0.0,0,Aiden Crowther,Aiden Crowther,"Three back-to-back anime films by three different directors make up this sci-fi trilogy three years in the making. In the chilling ""Magnetic Rose,"" engineers on a spacecraft board an abandoned space station and encounter disturbing paranormal forces. A young lab worker accidentally swallows a chemical weapon and becomes a walking killing machine in ""Stink Bomb."" In ""Cannon Fodder,"" a young boy and his father fight for survival in a city functioning on paranoia.",0,Memories
tt32760217,0.0,0,Nadiin,Sharvesh,A woman (Kelli Garner) hears a horrific story about a maniacal killer at a birthday party.,0,Red Velvet
tt32757028,0.0,57,Hugo Will,Hugo Will,"In this opera-based anthology, 10 directors interpret 10 popular arias. Among others, Robert Altman imagines the opening night of Jean-Philippe Rameau's ""Les Boréades"" in 1734 Paris; Jean-Luc Godard envisions Jean-Bapiste Lully's ""Armide"" as the story of French maids desperately trying to seduce burly bodybuilders lifting weights at the gym; and Julien Temple stages Giuseppe Verdi's ""Rigoletto"" with synchronous infidelities occurring at the same hotel.",20,Aria
tt32768223,0.0,0,Brian Danner,Brian Danner,none,5,Assassins: Iron Winter
tt32768739,0.0,0,none,none,none,11,Oportunidades
tt32776506,0.0,0,Eric Zaragoza,Sydney Gates,none,18,Runaway
tt32801133,0.0,0,Eric Anthony Valencia,Eric Anthony Valencia,none,15,FOE! Fist of Eras
tt32801113,0.0,0,Ethan Pham,Ethan Pham,none,19,Prime Assembly Containment
tt32801333,0.0,0,Dylan Cole Black,Dylan Cole Black,none,5,Ask Alice
tt32809287,0.0,0,none,none,none,0,The Legend of the Makwa 3: The Final Battle
tt32810822,0.0,0,Noah Spann,Ian Hetzler,none,6,That's Classified
tt32810870,0.0,0,Rodrig Andrisan,Rodrig Andrisan,none,13,"Cochon on Mars, Operation Ice Cream"
tt32812148,0.0,0,Ashtan Hase,Ashtan Hase,none,21,The Red Ring: Part II
tt32813331,0.0,0,Tarik Nkosi,Tarik Nkosi,none,18,Igwe Jones
tt32828720,0.0,0,Abhinivesh,Nadiin,none,0,Brute
tt32832241,0.0,0,Jonathan Adams,Tahyna MacManus,none,0,Bread
tt32832082,0.0,0,Chase A. Coustley,Chase A. Coustley,none,20,Guy and Guys 3: The Last Guy
tt32840514,0.0,0,none,none,none,5,Enemy Elusive
tt32840951,0.0,0,Júlia Dezotti,Júlia Dezotti,none,0,Katherine and the shed
tt15077488,0.0,0,Zach Crotty,Zach Crotty,none,0,Speed Reaper
tt18271544,0.0,0,none,none,none,0,Legacy
tt18285490,0.0,50,none,none,"When a female drifter (Jocelin Donahue) discovers some violent thieves at a desert motel run by a mysterious woman (Kelly Lynch), she hatches a plan to escape with their stolen cash.",0,The Frontier
tt18797620,0.0,0,Liam Owen,Liam Owen,none,0,Murdock by day
tt19539550,0.0,0,none,none,none,0,none
tt19759382,0.0,0,Anton Bucher,Anton Bucher,none,0,Agent 009: Chollapsis
tt19816152,0.0,0,none,none,none,0,3
tt20852264,0.0,26,Cameron Lessard,Cameron Lessard,"Thanks to the indulgence of her patient husband, Dr. Bill Lintz (Robbie Coltrane), wealthy eccentric Trudy (Rene Russo) has already accumulated a large collection of wild animals by 1931 when she is introduced to Buddy, a sickly young gorilla. Trudy raises Buddy as her own child, dressing him in human clothes, and the ape responds with absolute obedience. But as Buddy grows older and larger, Trudy is unable to restrain him from turning increasingly violent.",0,Buddy
tt21941516,0.0,0,none,none,none,0,none
tt22796716,0.0,0,Krstover Luaay,Krstover Luaay,none,0,Money Greed
tt23131232,8.4,0,none,none,none,48,The Exterminator: Don Teschio's Revenge
tt24072316,6.8,0,Oscar Boyson,Oscar Boyson,none,20,Power Signal
tt22083024,0.0,0,none,none,An engineer (Stephen Baldwin) helps other war prisoners defend their farms from marauders on a 2237 planet.,0,none
tt25000442,0.0,0,Rúni Djurhuus,Rúni Djurhuus,none,0,Das Photo
tt25154062,0.0,0,Garshasp Ghobadi,Garshasp Ghobadi,none,0,The Free Hearts: Friedrich Nietzsche
tt25165514,0.0,0,none,none,"After having lost his father, John is haunted by nightmares of being trapped in a maze.",13,Minotaur Madness
tt25406638,0.0,0,Mat Newcomb,Matt Hookings,none,23,The making of Prizefighter: The life of Jem Belcher
tt25434578,0.0,0,Vishal Ranjithkumar,none,none,4,The Alley in Still
tt25574520,0.0,0,Ron Wilson,Ron Wilson,none,16,Adrenalade
tt25602778,0.0,0,Jonathan Cocco,Irene Plax,none,0,Pickle Fight
tt25964474,0.0,0,Izaiha Fm,Charles B. Soto,none,38,Morty & Friends: The Next Generation!
tt26082058,0.0,0,Asterios Karatzas,Karatzas Asterios,none,0,Revenge of the Ninia: the Cressent of the Last Vyssinfield
tt26229120,8.1,0,Brian Tang,Brian Tang,none,15,Kodama
tt26230284,0.0,0,Johnny K,John Broughton,none,0,Farragut Forward
tt26242114,0.0,0,Noah Hasselmann,Noah Hasselmann,none,27,James Duck Thanatos Project
tt26248680,0.0,0,none,none,none,2,Watching
tt26250152,0.0,0,Ioan Rotarescu,Ioan Rotarescu,Complications arise when an army officer decides to help his missing doppelganger's family.,3,Strange Encounter
