id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt30321095,8.0,100,none,none,"When melancholic construction worker Dan (Keith Kupferer) finds himself drifting from his wife and daughter, he discovers community and purpose in a local theater's production of Romeo and Juliet. As the drama onstage starts to mirror his own life, he and his family are forced to confront a personal loss.",0,Ghostlight
tt30321249,6.3,0,none,none,none,110,Lagan Special
tt30325406,5.2,0,Sam Casserly,Sam Casserly,none,80,Snooker Man
tt30329283,7.0,0,Nicolas Daenens,Nicolas Daenens,none,55,Hazegras
tt30364726,6.5,0,Park Yong-ju,Ra Mi-ran,"After losing her laundry store to a fire incident, a single mom Duk-hee (RA Mi-ran) receives a call from a bank offering a generous upfront loan so she takes it right away. But soon after, she finds out that she has become a victim of a voice phishing scheme. Devastated, Duk-hee turns to the police for help, only to be more disappointed that there is no hope of retrieving her money. At the moment of despair, Jae-min (GONG Myoung), the phisher who tricked her, rings her phone once again to tip Duk-hee off about the criminal organization that locked him up and coerced him to make voice phishing calls from China. With that call, Duk-hee makes up her mind to investigate this case for herself and take a plane to China with her friends.",114,Citizen of a Kind
tt30400709,6.2,0,Andibachtiar Yusuf,Aaron Hart,none,93,Bu Tejo Sowan Jakarta
tt30402897,6.7,0,none,none,"Comedian Jacqueline Novak delivers a funny and philosophical meditation on sex, coming-of-age and a certain body part in this intimate stand-up special.",94,Jacqueline Novak: Get on Your Knees
tt30420755,5.1,0,Ilya Farfell,Ekaterina Gordetskaya,none,95,Adam i Eva
tt30430918,6.4,0,Letitia Rosculet,Matei Dima,none,90,Tati Part Time
tt30471155,5.4,0,Frank Cimière,Frank Cimière,none,93,Operation Portugal 2 - La vie de chateau
tt30475098,7.2,0,Mark Gorobets,Anna Makarenkova,none,111,Tur s Ivanushkami
tt30475191,0.0,0,Simon Bagdasaryan,Oksana Seropyan,none,0,Postuchis v moyu Tver
tt30475201,0.0,0,Aleksandr Boguslavskiy,Viktor Bondaryuk,none,0,Vstretimsya vchera
tt30476486,7.8,0,none,none,none,0,Haikyuu!! La batalla del basurero
tt30478127,5.4,0,Sunny Chan,Sunny Chan,"Three couples appear to be happy on the surface, but are privately in pain. Their wedding banquets are fraught with misunderstandings, suspicion, resentment and love.",133,Faan hei gong sum 2
tt30486891,8.8,0,none,none,none,0,Delivery Boy
tt30489972,7.4,0,none,none,none,116,Aaichya Gavat Marathit Bol
tt30490537,3.7,0,Hana Hendrychová,Uljana Donátová,none,0,Matka v trapu
tt30493743,6.5,0,Kawthar Younis,Haitham Dabbour,none,0,Maqsoom
tt30496014,0.0,0,Sedrick Savoy,Sedrick Savoy,none,0,The Cleaners 2
tt30497082,0.0,0,none,none,none,0,Beijing jin xing shi
tt30504474,2.3,0,none,none,none,107,Erdal ile Ece
tt30505337,5.0,0,Fred Cavayé,Fred Cavayé,none,100,Les chèvres!
tt30517920,3.4,0,Iura Luncasu,Iura Luncasu,none,109,Complotul Bonelor
tt30583573,5.2,0,Enes Ates,Enes Ates,none,84,Afacanlar Kampta
tt30590474,0.0,0,Dhanush,Dhanush,none,0,Nilavuku Enmel Ennadi Kobam
tt30624784,5.9,0,Bobby Bonifacio Jr.,Juvy Galamiton,none,105,My Zombabe
tt30630937,8.0,0,Gaja,none,none,0,Online Madhuve Offline Shobana
tt30661504,0.0,0,Nico Zavelberg,Stefan Retzbach,"When security robots begin attacking the people they're assigned to protect, the crackerjack Troubleshooters team is called in to restore order.",100,Troubleshooters
tt30698096,6.0,0,Ding-Lin Wang,Chen Bo-lin,none,109,Huan qian
tt30747029,0.0,0,Brian Lloyd,Sasha Srbulj,none,0,Root for the Wind
tt30760058,0.0,0,none,none,none,124,Kripya Dhyaan Dein
tt30761716,9.1,0,none,none,"Investigations of the Sewol Ho incident are undergoing, yet it is difficult to unveil the truth. However, after four years of constant analysis and research, the truth finally appears in front of us.",46,Intention
tt30767447,6.0,0,JT Wight,Gavin Ward,none,60,Luigi's Mansion
tt30768731,8.6,0,none,none,"Hip Hop culture is in a crisis! A pioneer of the culture joins forces with a few of rap music's elite performers to attempt to save Hip Hop. Exciting and hilarious, this film also offers relevant social commentary on the state of Hip Hop culture.",90,A Hip Hop Story
tt30768761,5.5,0,Rina Wu,Rina Wu,A middle-aged man is diagnosed with a brain tumor and has only days to live. He reunites with several others who lived in the family compound decades ago.,107,Mo lu kuang hua qian
tt30769141,5.2,0,none,none,0,155,Jatt Nuu Chudail Takri
tt30777542,5.6,0,none,none,0,0,Shinda Shinda No Papa
tt30783304,5.5,0,Raffaele Ferrante,Apirat Arrayayan,none,0,Bang Bank
tt30786071,5.6,0,Thomas Stuber,Die Köbris,none,95,Spuk unterm Riesenrad
tt30787657,0.0,0,Jon Bass,Jon Bass,none,70,Carole & Grey
tt30788360,7.4,0,Elza Gauja,Elza Gauja,none,88,Pastkarte no Romas
tt30788442,4.6,0,Osvaldo Benavides,Osvaldo Benavides,0,90,Noche de bodas
tt30790287,0.0,0,none,none,none,0,none
tt30790735,5.5,0,Mariya Tikhonova,Aleksey Tikhonov,none,83,Korporatsiya Morozov
