id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt17590672,0.0,0,Claudiu Oprea,Claudiu Oprea,none,0,Scorpion
tt17731524,0.0,0,Dave McClain,none,none,0,Valhalla Awaits
tt18213692,0.0,91,Wade F. Jackson,Wade F. Jackson,"Famed stage actress Elisabeth Vogler (Liv Ullmann) suffers a moment of blankness during a performance and the next day lapses into total silence. Advised by her doctor to take time off to recover from what appears to be an emotional breakdown, Elisabeth goes to a beach house on the Baltic Sea with only Anna (Bibi Andersson), a nurse, as company. Over the next several weeks, as Anna struggles to reach her mute patient, the two women find themselves experiencing a strange emotional convergence.",88,Persona
tt18556552,0.0,0,Shaun Hume,Shaun Hume,none,0,The Falling Sun
tt19368948,0.0,0,Stefania Rocca,Carlo Capasa,none,100,L'ora di tutti
tt19898506,0.0,0,Ana Patricia Angulo Nicosia,Paco Castillo,none,90,Paralelo 7/9
tt20407238,0.0,0,none,none,none,0,The Dream Fisher
tt20411966,0.0,0,Peter Tyrrell,Peter Tyrrell,none,107,Should Have Waited
tt20453194,0.0,0,Hussain Ahmad,Hussain Ahmad,none,85,The Satire
tt20923242,0.0,0,none,none,none,0,Our Family Pride
tt21065476,7.4,0,Rafael Portillo,Rafael Portillo,A Hollywood stuntman and his lovely doctor set out to discover who drugged him and surgically removed his kidney.,23,The Donor
tt22022452,7.9,0,none,none,none,0,Del revés 2 (Inside Out 2)
tt22394800,7.6,0,Yüksel Aksu,Onur Böber,none,123,Cem Karaca'nin Gözyaslari
tt23461428,4.8,40,none,none,Aspiring cricketers are unfairly kicked off the team despite their talent. They must deal with and overcome this setback to achieve their dreams.,150,Lal Salaam
tt23747498,7.0,48,Sarik Andreasyan,Aleksey Gravitskiy,"In 1820s St. Petersburg, Russia, the cynical nobleman Onegin (Ralph Fiennes) finds himself the new owner of a country estate following the death of his uncle. Deciding to abandon the fast-paced city for the leisurely countryside, Onegin takes over the estate. There, he soon befriends his neighbor Lensky (Toby Stephens), who introduces the aristocrat to his fiancee's sister, Tatyana (Liv Tyler). Onegin and Tatyana share an attraction, but Onegin's coldness threatens the relationship.",141,Onegin
tt24176896,0.0,0,none,none,none,0,Yolun Sonu Nebi
tt24948640,0.0,0,Lakshman Chaprala,Devgil,none,144,Agent Narasimha-117
tt25785988,7.0,0,Ekin Pandir,Caner Erzincan,none,125,Hayatla Baris
tt26238738,0.0,0,none,none,none,0,Vamp Camp: Being a Melodrama in Three Parts
tt26439277,0.0,0,Ivan Oganesov,Sergey Kaluzhanov,none,92,Mne tebya obeschali
tt26446278,8.0,100,none,none,0,173,El conde de Montecristo
tt26731216,0.0,0,none,none,"Isaiah Wright has some growing up to do. A year out of high school with no plans for his future, Isaiah is challenged by his single mom and a successful businessman to start charting a better course for his life. Through the prayers of his mother and biblical discipleship from his new mentor, Isaiah begins to discover God's purpose for his life is so much more than he could hope for or imagine.",0,The Forge
tt26731970,7.7,0,Shô Miyake,Shô Miyake,none,119,All the Long Nights
tt26768685,0.0,0,Sharan Art,Jass Grewal,none,122,Rabb Da Radio 3
tt27006928,0.0,0,none,none,none,85,Carbon & water
tt27205186,0.0,0,none,none,none,0,none
tt27248147,0.0,0,Sahil Koobrick,Antonio Haseeb,none,0,Concrete Blues
tt27439361,0.0,0,Felicia Rivers,Isaac Hilton Jr.,none,0,Diamonds and Pearls
tt27459160,6.3,43,none,none,A bumbling young man meets the girl of his dreams.,0,Teri Baaton Mein Aisa Uljha Jiya
tt27478261,0.0,0,Paman Kumar Biswas,Sorif B. Mahmud,"Padmanabhan tries to keep his family closely-knit. However, he is saddened when Sasidharan, his ambitious younger brother, decides to move out of the house.",127,Sneham
tt27487288,6.0,0,Yuriy Khmelnitskiy,Aleksandr Andryushchenko,none,134,Lyod 3
tt27496775,7.1,0,Gustav Möller,Emil Nygaard Albertsen,none,100,Vogter
tt27533338,0.0,0,none,none,none,115,Beautiful Bombshells
tt27534307,0.0,0,none,none,none,0,No hables con extraños
tt27607129,0.0,0,none,none,none,0,none
tt27626125,0.0,0,none,none,none,0,none
tt27635887,0.0,0,Felicia Rivers,Felicia Rivers,none,0,Have You Seen My Man?
tt27746150,0.0,0,Larissa Anton,Larissa Anton,none,0,"Ritter, Burgen, Edelfrauen - Liebessagen aus dem Mittelalter"
tt27750212,0.0,0,Law Collins,Reggie Jackson,none,95,Turned Out: The Movie
tt27814598,0.0,0,none,none,none,0,none
tt27819388,3.1,0,none,none,"Cinderella is a simple and beautiful young woman who dreams of finding love and happiness. Unfortunately, she is mistreated and abused by her evil stepmother and stepsisters on a daily basis and has no way of escaping their cruelty. However, when she discovers a flesh bound ancient book that can summon a fairy godmother, her luck changes. The fairy godmother grants Cinderella a wish, and she chooses revenge.",0,Cinderella's Curse
tt27827937,6.1,0,Dmitriy Fiks,Viktoriya Bugaeva,none,105,Lyubvi ne byvaet?
tt27850011,0.0,0,Max Presement,Max Presement,none,29,Maybe I Am the Villain
tt27951272,5.0,0,none,none,A cop tries to recover a 600-year-old statue.,127,Danny Jigar
tt28015766,0.0,0,none,none,none,0,none
tt28060485,0.0,0,Keith Lakean Powell,Keith Lakean Powell,"Behind closed doors, widely respected firefighter Lyle Wilder (Charles Sheen) is an abusive husband and father. When his family leaves him, Lyle goes off the rails and accuses his neighbors of driving his wife and son away. He begins tormenting them and, as his murderous rampage escalates, he violently kills a repairman. But, because of Lyle's do-gooder reputation, the police refuse to believe his neighbors' accusations, which forces them to take matters into their own hands.",0,Under Pressure
tt28076642,0.0,0,David N. Reyes,David N. Reyes,none,63,Paw Mama
tt28221135,6.4,43,none,none,"Indian Maoists, also known as Naxals, took thousands of lives and destroyed trillions of dollars' worth of national assets in the Bastar rebellion, which broke out in 1910 in present day Chattisgarh, India.",124,Bastar: The Naxal Story
tt28244012,5.5,0,Pierre Godeau,Pierre Godeau,none,91,Sous le vent des Marquises
tt28354262,7.2,0,Joseph Josselyn,Gideon Firl,"For the first time in history, a Deaf audience will have the unique opportunity to experience the story of Jesus presented as a feature film entirely in American Sign Language. JESUS: a Deaf Missions film will take you on a journey with Jesus and his disciples. Witness His miracles, His transformative power, and His challenges to the religious elite in a time of high tension under Roman rule in Judea. The Jews were anticipating a Messiah, but Jesus was not what they expected. What the religious leaders orchestrated to be Jesus' end instead changed the world forever. Immerse yourself in Jesus' love as He offers hope, forgiveness, and eternal life. Don't miss this historic film--produced by Deaf for Deaf--with a cast fluent in American Sign Language. Deaf producer / director Joseph D. Josselyn (of Deaf Missions) and Deaf producer Michael Davis (of GUM Vision Studio) bring the movie to life for Deaf audiences. The film includes a soundtrack and English subtitles.",147,Jesus: A Deaf Missions Film
tt27872025,0.0,0,Marc Jure,Marc Jure,none,0,Ballerina Boy
tt27882632,0.0,0,Hermione Sylvester,Hermione Sylvester,none,0,Not Dark Yet
tt27917744,0.0,0,Alex Igbanoi,Wil Johnson,none,0,He who dares to win
tt27934120,0.0,0,Jack Elliot,David Eriksson,none,15,Amygdala
tt28013848,0.0,0,Aubree Bernier-Clarke,Audrey Dundee Hannah,none,0,Unmasking
tt28016665,0.0,0,Lucciana Pascual,Lucciana Pascual,none,12,Hora Azul (Blue Hour)
tt28020970,0.0,0,none,none,none,15,My Method
tt28061894,0.0,0,Adam Joseph Gomez,Adam Joseph Gomez,none,29,Divine Design 2
tt28088582,0.0,0,none,none,none,18,Suplicio
tt28092756,0.0,0,Taylor Ramos,Taylor Ramos,none,0,The Second
tt28187783,0.0,0,Alexa May,Alexa May,none,10,Cover
