id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt0167260,9.0,94,none,none,"The culmination of nearly 10 years' work and conclusion to Peter Jackson's epic trilogy based on the timeless J.R.R. Tolkien classic, ""The Lord of the Rings: The Return of the King"" presents the final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Hobbits Frodo and Sam reach Mordor in their quest to destroy the `one ring', while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",0.0,El señor de los anillos: El retorno del rey
tt0169547,8.3,87,none,none,"Lester Burnham (Kevin Spacey) is a gainfully employed suburban husband and father. Fed up with his boring, stagnant existence, he quits his job and decides to reinvent himself as a pot-smoking, responsibility-shirking teenager. What follows is at once cynical, hysterical, and, eventually, tragically uplifting.",0.0,American Beauty
tt0172495,8.5,80,none,none,"Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor and father, Emperor Marcus Aurelius, the great stoical philosopher. Maximus is then relegated to fighting to the death in the gladiator arenas.",0.0,Gladiator (El gladiador)
tt0268978,8.2,74,none,none,"From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all; as a mathematical expert, he made a discovery early in his career and stands on the brink of international acclaim; but Nash soon finds himself on a painful and harrowing journey of self-discovery.",0.0,Una mente maravillosa
tt0299658,7.2,86,none,none,"Nightclub sensation Velma (Catherine Zeta-Jones) murders her philandering husband, and Chicago's slickest lawyer, Billy Flynn (Richard Gere), is set to defend her. But when Roxie (Renée Zellweger) also winds up in prison, Billy takes on her case as well -- turning her into a media circus of headlines. Neither woman will be outdone in their fight against each other and the public for fame and celebrity.",0.0,Chicago
tt0375679,7.7,74,none,none,"Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).",0.0,Crash (Colisión)
tt0405159,8.1,90,none,none,"Frankie Dunn (Clint Eastwood) is a veteran Los Angeles boxing trainer who keeps almost everyone at arm's length, except his old friend and associate Eddie ""Scrap Iron"" Dupris (Morgan Freeman). When Maggie Fitzgerald (Hilary Swank) arrives in Frankie's gym seeking his expertise, he is reluctant to train the young woman, a transplant from working-class Missouri. Eventually, he relents, and the two form a close bond that will irrevocably change them both.",0.0,Million Dollar Baby
tt0407887,8.5,91,none,none,"South Boston cop Billy Costigan (Leonardo DiCaprio) goes under cover to infiltrate the organization of gangland chief Frank Costello (Jack Nicholson). As Billy gains the mobster's trust, a career criminal named Colin Sullivan (Matt Damon) infiltrates the police department and reports on its activities to his syndicate bosses. When both organizations learn they have a mole in their midst, Billy and Colin must figure out each other's identities to save their own lives.",0.0,Infiltrados
tt0477348,8.2,93,none,none,"While out hunting, Llewelyn Moss (Josh Brolin) finds the grisly aftermath of a drug deal. Though he knows better, he cannot resist the cash left behind and takes it with him. The hunter becomes the hunted when a merciless killer named Chigurh (Javier Bardem) picks up his trail. Also looking for Moss is Sheriff Bell (Tommy Lee Jones), an aging lawman who reflects on a changing world and a dark secret of his own, as he tries to find and protect Moss.",0.0,No es país para viejos
tt0887912,7.5,96,none,none,"Staff Sgt. William James (Jeremy Renner), Sgt. J.T. Sanborn (Anthony Mackie) and Specialist Owen Eldridge (Brian Geraghty) are members of a bomb-disposal unit in Baghdad. As their tour of duty enters its final weeks, the men face a set of increasingly hazardous situations, any of which could end their lives in an explosive instant.",0.0,En tierra hostil
tt1010048,8.0,91,none,none,"As 18-year-old Jamal Malik (Dev Patel) answers questions on the Indian version of ""Who Wants to Be a Millionaire,"" flashbacks show how he got there. Part of a stable of young thieves after their mother dies, Jamal and his brother, Salim, survive on the streets of Mumbai. Salim finds the life of crime agreeable, but Jamal scrapes by with small jobs until landing a spot on the game show.",0.0,Slumdog Millionaire
