id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt30270137,none,none,none,none,none,none,none
tt30275493,none,none,none,none,none,75,Sounds Like A Great Project!
tt30364726,"6,5",none,Park Yong-ju,Ra Mi-ran,"After losing her laundry store to a fire incident, a single mom Duk-hee (RA Mi-ran) receives a call from a bank offering a generous upfront loan so she takes it right away. But soon after, she finds out that she has become a victim of a voice phishing scheme. Devastated, Duk-hee turns to the police for help, only to be more disappointed that there is no hope of retrieving her money. At the moment of despair, Jae-min (GONG Myoung), the phisher who tricked her, rings her phone once again to tip Duk-hee off about the criminal organization that locked him up and coerced him to make voice phishing calls from China. With that call, Duk-hee makes up her mind to investigate this case for herself and take a plane to China with her friends.",114,Citizen of a Kind
tt30395619,"6,8",none,none,none,none,0,Guardianes de la noche: Kimetsu no Yaiba - Rumbo al entrenamiento de los pilares
tt30396321,none,none,none,none,none,none,none
tt30399520,none,none,none,none,none,none,none
tt30415138,"8,3",none,Raihan Rafi,Raihan Rafi,Follows a born killer who rises to power and becomes the biggest don.,0,Toofan
tt30425001,none,none,Maksim Shishkin,Maksim Shishkin,none,none,Posledniy ronin
tt30446975,none,none,SketchWasTaken,Jose Abruto Baller,none,0,Cacophony the Animated Movie
tt30470734,none,none,none,none,none,none,none
tt30485382,none,none,none,none,none,none,Operation Baraat
tt30476573,none,none,Salman Sajjadi,Salman Sajjadi,none,none,The Magnetic Fighters
tt30609082,none,none,Joshua Carter,Joshua Carter,none,0,The Crypto: Beyond
tt30661504,none,none,Nico Zavelberg,Stefan Retzbach,"When security robots begin attacking the people they're assigned to protect, the crackerjack Troubleshooters team is called in to restore order.",100,Troubleshooters
tt30698096,"6,0",none,Ding-Lin Wang,Chen Bo-lin,none,109,Huan qian
tt30768673,"7,2",none,none,none,none,119,Jorge da Capadócia
tt30777379,"8,5",none,none,none,none,138,Pariah Volume 1: Every Street Dog Has a Name
tt30808927,none,none,Miguel Rodriguez,Miguel Rodriguez,none,132,Boyz
tt30810211,"6,2",none,Renaldo Kell,Renaldo Kell,none,90,Bush Knife
tt30811417,none,none,Ibragim Ursanov,none,none,95,V pogone za kamnem
tt30828548,none,68,Lassana Jayasekara,Kelum Kularathne,"Released from prison, a man returns to his violent ways when a menacing drug lord threatens his indebted brother.",none,Villain
tt30842302,none,none,Robert Ker,Robert Ker,none,none,S.N.S.O.B - Supernatural Squad of Badasses Part 2
tt30842823,"3,8",none,Miro Wang,Edward Chen,none,101,Xiao zi
tt30850554,"4,2",none,Jorge Nisco,Luis Bernardez,,104,Jaque Mate
tt30850912,none,42,none,none,"Mercenary leader Barney Ross (Sylvester Stallone) and his loyal men take on what they think is a routine assignment: a covert operation to invade the South American country of Vilena and overthrow its dictator. But, when they learn that the job will be a suicide mission, they must choose redemption or the destruction of their brotherhood.",none,The Expendables
tt30869046,none,none,Victor Andres Rivas Rivera,Victor Andres Rivas Rivera,none,none,Envidia la Película
tt30887725,"6,8",none,S. Baldev Singh,Sophia Albarakbah,none,86,Jiwa 8 Belas
tt30895352,none,none,none,none,none,none,Fast Furious
tt30957694,"5,4",none,Jaturong Mokjok,Teeradetch Metawarayut,none,103,Chinatown Chacha
tt30958950,"6,1",none,Albert Kai-Kwong Mak,Ryker Chan,"Two perplexed middle-aged losers, Robby (starring LAM Ka Tung) and Fai (starring Richie JEN) are good friends. Fai is honest man. His wife left him with an elderly home business. Fai has tried very hard to keep it running until the owner increases the rent crustily. Taxi driver Robby, who is timid and unreliable, he always neglected the conflicts between his mother and his wife. Robby always lives paycheck to paycheck without a financial plan, so he is at a loss what to do.",98,Lam see gip on
tt30961629,none,none,none,none,none,none,The Die Hard
