id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt31079401,"6,7",none,none,none,none,139,Mandya Haida
tt31093131,none,none,none,none,none,96,Fast Atlanta
tt31115532,none,none,Ricard Gomez,Alberto Gomez,none,105,Malditos fantasmas
tt31122323,"2,4",none,none,none,none,0,Megamind vs. The Doom Syndicate
tt31149938,"5,8",none,none,none,"When an online game rakes in money, it excites and becomes an addiction. But when it's high time and you are at the point of no return, where you realize that it isn't a mere game but a scam which eventually threatens and becomes a question of the life and death of your loved one -- how far will you go? At what cost?",119,E-mail
tt31152127,"6,4",70,Siyu Cheng,Mengmeng Huang,"Mariachi (Antonio Banderas) plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho (Joaquim de Almeida), for an action-packed, bullet-riddled showdown. With the help of his best friend (Steve Buscemi) and a beautiful bookstore owner (Salma Hayek), the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",100,Xi zhuang bao tu
tt31152166,"6,8",none,Tatsuya Oishi,Nisio Isin,"KIZUMONOGATARI -Koyomi Vamp- centers around a high school student named Koyomi Araragi, who survives an encounter with a gorgeous yet helpless vampire, Kiss-shot Acerola-orion Heart-under-blade. It was one fateful evening when Koyomi Araragi encountered her -- Kiss-shot Acerola-orion Heart-under-blade: Legendary Vampire, Killer of Apparitions, and King of Apparitions. Her legs and arms were cruelly torn apart, her extravagant dress soaked in red; she's a monster who finds herself in a tragic state, lying in a pool of her own blood. However, Koyomi finds her to be beautiful this way.",144,Kizumonogatari: Koyomi Vamp
tt31152181,"8,6",none,none,none,none,125,Rooban
tt31159130,"4,4",none,Ka-Wai Ng,Stephen Huynh,none,101,Crypto Storm
tt31169791,none,none,none,none,"When Dawn, a free-spirited festival girl en route to a major music festival, decides to pick up a handsome stranger along the way, the pair soon find themselves being stalked and running for their lives from a crazed madman.",none,none
tt31171309,none,none,Roosevelt Jackson,Roosevelt Jackson,"A ruthless queenpin prepares for her 50th birthday party, unaware that she's the target of an assassination plot. Will her big day become a bloodbath?",76,The Queens Ball
tt31194647,none,none,Mohammad Habib Khan,Kazi Hayat,none,none,Tal Matal
tt31215789,none,none,Cameron Martin,Cílan Barrett,none,none,Pikmin Forever
tt31216055,none,none,none,none,none,none,Ajay Gadu
tt31241468,none,none,Alexander Del Real,Vincent Baesa,none,0,The One and Only: Spider-Man
tt31250810,none,none,Liam Aiken,Liam Aiken,none,none,ChickenMan
tt31258919,none,Aleksandra Butko,Irina Anatsko,71,Zakhvat,,
tt31261135,none,none,Fatt Yeow Chew,Eric Chen,none,97,Happy Dragons
tt31306866,none,none,Justin Price,Justin Price,none,none,I Heart Robots
tt31308511,none,none,Denis Pavlov,Timur Levchenko,none,85,Koresha
tt31311119,none,none,Mark Polonia,John Oak Dalton,none,76,Jurassic Exorcist
tt31313928,none,none,Christopher Ortiz,Christopher Ortiz,A Gulf War veteran becomes a target of a group called RedSin; he tries to defeat its leader while his sibling seeks reconciliation.,49,RedSin: Martyrs of Dissent
tt31315486,none,none,Sham Jr.,Engku Seri Kelantan,none,120,Janna Endoro
tt31321746,none,none,Saipraba Meena,Saipraba Meena,none,none,Enimey Nangadha Head Lines
tt31383416,none,none,Derrick Lui,Hanrey Low,none,86,Oversteer
tt31389264,none,none,Lynn Drzick,Lynn Drzick,none,83,In the Woods
tt31389684,none,none,S Sagar,Jitendra Kumar Soni,none,none,Bharkhama
tt31383093,none,none,XD Black,Xolani Dlamini,"Following her husband's murder, a woman uncovers a sinister plot devised by members of a taxi business who wanted him out of the way.",110,Taxi Bosses
tt31408607,"7,8",none,none,none,none,94,Jimmy's Friends
tt31435118,none,none,none,none,none,67,2032: Pako Varissuolta
tt31450653,none,none,Nykear Graham,Nykear Graham,none,0,Miles Morales: A New Hero
tt31451138,none,none,none,none,none,none,none
tt31457736,none,none,Shinsuke Sato,Yasuhisa Hara,none,none,Kingudamu Daishôgun no Kikan
tt31456573,none,none,none,none,none,66,Too Little Too Late
tt31462825,none,none,Anand Bhatt,Anand Bhatt,none,81,Raja 420
tt31492821,none,none,none,none,none,0,Zen Fist
tt31494700,"6,5",none,Wei Li,Meng Li,none,102,Mo lu kuang dao
tt31495280,"7,0",none,Billy Christian,Billy Christian,none,119,Marni: The Story of Wewe Gombel
tt31511073,none,none,none,none,none,0,The Brofessors Return
tt31513054,none,none,none,none,"A young couple excited to start their new life out of college take a trip to the California coast when a massive earthquake and power outages leave him stranded 10,000 feet in the air with nowhere to land.",none,Half Moon Bay
tt31521633,none,none,Robert Definne Dorsey,Robert Definne Dorsey,none,0,Sicarius
tt31523052,"6,4",none,Yi Huang,Bo Yuen Chan,none,none,The Grey Man
tt31530596,"6,3",none,Michael Su,Jacob David Smith,none,88,Snow White and the Seven Samurai
tt31545409,none,none,none,none,none,none,none
tt31546944,none,74,Jamal Hines,Jamal Hines,Five mountaineers stumble into a vicious kidnapping scheme after they rescue a child they find buried alive in the Scottish Highlands.,none,A Lonely Place to Die
tt31583554,none,none,Benny Aynick,Praveen Varier,none,68,Pakal Iravu
tt31591241,"9,5",89,none,none,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker (Alice Patten) casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",174,Rang De Basanti
tt31597833,"5,9",none,Hoon Koh,Oh Dae-hwan,,98,Holy Punch
tt31608769,none,none,none,none,none,none,Dora du Gaza
tt31614338,none,none,Mikko Pohjola,Jarno Kovamäki,none,48,Vakoojakoulun Varamiehet
tt31974038,none,none,none,none,,none,Terrorism
tt31974203,none,none,Gabriela Kostadinova,Alexander Kussovski,"Sybille is a divorced mother seeking to reconnect with her violent drifting son, Samuel. As a last resort, she takes him on a horse trip across Kyrgyzstan, facing its magnificent yet hostile natural environment, its people… and above all each other.",none,Keep Going
tt31987687,none,none,none,none,none,none,LU BY LU - Get the bag split the profit
tt31988136,none,none,Rodrig Andrisan,Rodrig Andrisan,none,7,Alone in Fear
tt32045624,none,none,Mitchel Merrick,Paula Fuga,none,none,Kukini
tt32056129,none,none,Mateo Bouzada,Mateo Bouzada,none,0,Cuentos tengo cientos
tt32056426,none,none,Simón Sepúlveda,Simón Sepúlveda,"Two unusual Kurdish brothers risk their lives by riding a motorcycle to Spain to meet their soccer hero, Cristiano Ronaldo.",none,El Clásico
tt32063115,none,none,none,none,Nebunul,,
tt32078973,none,none,Daniil Smolnikow,Anton Semenov,none,0,V.A.I.L.D.
tt32085804,none,none,Oscar Bermudez,Paul Black,none,none,Project Re: Fate
tt32084772,none,none,Sean Yang,Sean Yang,none,15,"Tranquil Waters, Boundless Skies"
tt32096172,none,none,none,none,"A narcotics officer is framed and gunned down in an execution-style hit, only to be rebuilt by medical science and return to seek vengeance on the criminal empire that set him up.",21,The Silencer
tt32103554,none,none,Kevin Le,Kevin Le,none,16,Kings of Triad: Uprising
tt31369950,none,none,Ignacio Cisternas,Ignacio Cisternas,none,14,Broken Promises - A Vengeance Story
tt31727048,none,none,none,none,none,10,Tryouts
tt31728961,none,none,Apostoly Peter Kouroumalis,Apostoly Peter Kouroumalis,none,none,The Dark Would
tt31778427,none,61,James Challis,Nikko Harris,"Once a narcotics officer in the LAPD, Ray Owens (Arnold Schwarzenegger) has settled into a peaceful life as sheriff of Sommerton Junction, a quiet border town. But that peace is shattered when Gabriel Cortez, a vicious crime lord, escapes from FBI custody and speeds toward Ray's town with a band of mercenaries. Federal agents prepare to capture Cortez, and Ray is at first reluctant to get involved -- but he soon finds he must rally his team and take matters into his own hands.",none,The Last Stand
tt31869296,none,none,Rodrig Andrisan,Rodrig Andrisan,none,29,The Creature from Epping Forest 2: Born to Be Wild
tt31889734,none,none,Dinis Mago,Dinis Mago,none,4,O Assaltante Inexperiente
tt31896876,none,none,Chris R. Notarile,Ian Fleming,none,none,007 - Codename: Bond
tt32033892,none,none,Preston Blaine Arsement,none,none,none,BEATING Video Games IN REAL LIFE!
tt32034672,none,none,Irene Zheng,Irene Zheng,none,none,Arktus
tt32126678,none,none,Derrick Acosta,none,none,none,Dragonball Z in 5 Minutes (The Complete Series) Live Action
tt32128367,none,none,none,none,none,8,Chhaya
tt32131959,none,none,Michael David MacRae,Michael David MacRae,none,none,The Four Empires Legends: Cobalt Sharks
tt32132459,none,none,Sean C. Swanson,Michael David MacRae,none,none,The Four Empires Legends: Golden Bears
tt32133317,none,none,Sean C. Swanson,Michael David MacRae,none,none,The Four Empire Legends: Showdown
tt32133543,none,none,Lawrence Bouchard,Matthew Boner,none,12,Swindler's Ring
tt32133560,none,none,Jake Allen,Sean Farr,none,0,Rebirth of the Guardian
tt32138963,none,none,none,none,none,none,Le Club
tt32147858,none,none,Brady Bouren,Brady Bouren,"Emine's husband gets arrested in Romania, and she's left alone with their sick child. She takes a job as a needleworker at a garment workshop, where she comes across Ziya, her husband's former boss.",21,Ember
tt32149240,none,none,none,none,none,none,Got Your Back
tt32149486,none,none,Jonty Ross,Jonty Ross,none,none,Mission Improbable
tt32151114,none,80,David Will No,David Will No,"When ""Bubber"" Reeves (Robert Redford) escapes from prison, it upsets the folks in the nearby town of Tarl, Texas. Sheriff Calder (Marlon Brando) wants to capture Reeves alive, which puts him in opposition to many of the townspeople who have resorted to mob justice. Businessman Val Rogers (E.G. Marshall) wants Calder to apprehend Reeves quickly, through any means, since he fears the criminal will come after Val's son, Jake, who is sleeping with Reeves' wife (Jane Fonda).",none,The Chase
tt32155809,none,none,Gugun Arief,Vonny Anggraini,none,20,Tinah Buys Cigarettes
tt32161563,none,none,Vaibhav Arya,Reecha Sharma,none,none,Treasure Map
tt32163968,none,none,none,none,none,none,none
tt32174427,none,none,Philip Kapadia,Philip Kapadia,none,1,Jump
tt32181422,none,none,none,none,none,none,Cool Dudes
tt32195647,none,none,Muhammad Mansoor,Muhammad Mansoor,A U.S. soldier (Tony Danza) sees the Berlin Wall go up in 1961 and helps a group of East Germans escape to the West.,none,Freedom Fighter
tt32196334,none,86,Bertan Berber,Bertan Berber,"Roman police detectives interrogate a series of potential perpetrators in their struggle to determine whom to arrest for the brutal murder of a beautiful prostitute whose body is discovered in a park on the day of a torrential rainstorm. One by one, the prime suspects -- girl-crazy teenager Nino (Giancarlo De Rosa), pickpocket Canticchia (Francesco Ruiu), a soldier on leave, a tourist and a pimp -- recount the events of the day to the police, each insisting he is innocent.",3,The Grim Reaper
tt32205629,none,none,12yflecha,12yflecha,none,4,Flecha Squirrelzilla
tt32211847,none,none,Ray Brady,Ray Brady,none,4,Vampire Planet Teaser
tt32213689,none,none,Ethan Breinholt,Ethan Breinholt,none,5,Innerslip
tt32218362,none,none,Alexander Geil,Alexander Geil,none,0,Blair
tt32219616,none,none,none,none,none,11,Dobbeltspil
tt32220757,none,56,Keith Collins II,Keith Collins II,"After military specialist Joshua Rose (Dennis Quaid) loses his wife (Nastassja Kinski) and son in a terrorist bomb attack in Paris, he joins the Foreign Legion as a form of revenge against Muslims. He ends up an anonymous mercenary in Bosnia, fighting with the Serbs, but his resolve is tested by the cruelty and horror of ethnic cleansing. When Joshua encounters Vera (Natasa Ninkovic), a young, pregnant Serbian woman due to be killed for her ""dishonor,"" he finds a reason to fight.",14,Savior
tt32229806,"6,0",none,Amirhosein Jafari,Lee Falk,none,2,Dick Tracy & The Phantom
tt32235931,none,none,Ryan Garner,Ryan Garner,none,10,Professionals the Bad Business
tt32242082,none,74,Adrian Paul,Adrian Paul,"Reuniting after the tragic death of their friend, four college pals set out to hike through the Scandinavian wilderness. A wrong turn leads them into the mysterious forests of Norse legend, where an ancient evil exists and stalks them at every turn.",5,The Ritual
