id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt29374141,"6,9",none,Peter Takla,Peter Takla,Desperate wives get the chance to get rid of their annoying husbands.,90,Husband for Sale
tt29402528,"6,8",none,Kazuaki Imai,Fujio F. Fujiko,none,115,Eiga Doraemon: Nobita no Chikyû Symphony
tt29439922,none,none,Savas Sancak,Cavidan Balci,none,105,Hayatimiz Roman
tt29441864,none,none,Tim J Record,Tim J Record,none,72,Social Creatures
tt29451310,"3,2",none,Sayago Ayuso,Sayago Ayuso,,0,Por tus muertos
tt29454492,"2,7",none,Kamil Cetin,Safak Sezer,none,98,Kolpaçino 4 4'lük
tt29456689,"8,9",none,none,none,"A vengeful mother-in-law locks horns with her daughter-in-law in a twisted tale laced with dark comedy, political intrigue, and chilling thrills.",125,Ni Main Sass Kuttni 2
tt29485634,"9,0",none,none,none,"It is a mockumentary that traces the career arc of an influential yet unrecognized figure in mumble rap, recounting his rise and fall.",63,Mumble: Fate of A Lost Icon
tt29519507,"6,3",Ilya Malanin,Roman Kantor,103,Nenormalnyy,,
tt29521504,"7,5",none,Aaron Bruce Lawson,Aaron Bruce Lawson,none,none,BumHer
tt29522722,none,none,none,none,none,none,Komanda Monstrov
tt29523617,none,none,none,none,none,none,Razyskivayetsya Ded Moroz
tt29534568,"6,0",none,Malik Chibane,Magyd Cherfi,none,91,Ma part de Gaulois
tt29547063,none,none,Dianna Renée,Alikona Shizue Bradford,none,60,Lost and Found
tt29551302,"5,8",none,Ulas Bahadir,Ulas Bahadir,none,114,Baskan
tt29633969,none,none,Eddie Åhgren,Per Gavatin,none,none,Jönssonligan kommer tillbaka
tt29686705,none,none,none,none,none,none,none
tt29721947,"5,9",none,Cristiano Marques,Manuela Dias,none,90,Dona Lurdes: O Filme
tt29723724,"7,1",none,Jos Stelling,Jos Stelling,none,102,De Dans van Natasja
tt29781139,none,none,Emma Hough Hobbs,Emma Hough Hobbs,none,90,Lesbian Space Princess
tt29793197,"7,6",none,Dani de la Orden,Eduard Sola,none,0,Casa en llamas
tt29871729,none,none,Santiago Segura,Marta González de Vega,none,90,Padre no hay más que uno 4: Campanas de boda
tt29892897,none,none,none,none,none,none,Sacred Creatures
tt29899777,none,none,Keith Lakean Powell,Kody Bean,none,none,# 1 Fan
