id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt30321095,"8,0",100,none,none,"When melancholic construction worker Dan (Keith Kupferer) finds himself drifting from his wife and daughter, he discovers community and purpose in a local theater's production of Romeo and Juliet. As the drama onstage starts to mirror his own life, he and his family are forced to confront a personal loss.",0,Ghostlight
tt30321249,"6,3",none,none,none,none,110,Lagan Special
tt30325406,"5,2",none,Sam Casserly,Sam Casserly,none,80,Snooker Man
tt30329283,"7,0",none,Nicolas Daenens,Nicolas Daenens,none,55,Hazegras
tt30364726,"6,5",none,Park Yong-ju,Ra Mi-ran,"After losing her laundry store to a fire incident, a single mom Duk-hee (RA Mi-ran) receives a call from a bank offering a generous upfront loan so she takes it right away. But soon after, she finds out that she has become a victim of a voice phishing scheme. Devastated, Duk-hee turns to the police for help, only to be more disappointed that there is no hope of retrieving her money. At the moment of despair, Jae-min (GONG Myoung), the phisher who tricked her, rings her phone once again to tip Duk-hee off about the criminal organization that locked him up and coerced him to make voice phishing calls from China. With that call, Duk-hee makes up her mind to investigate this case for herself and take a plane to China with her friends.",114,Citizen of a Kind
tt30400709,"6,2",none,Andibachtiar Yusuf,Aaron Hart,none,93,Bu Tejo Sowan Jakarta
tt30402897,"6,7",none,none,none,"Comedian Jacqueline Novak delivers a funny and philosophical meditation on sex, coming-of-age and a certain body part in this intimate stand-up special.",94,Jacqueline Novak: Get on Your Knees
tt30420755,"5,1",none,Ilya Farfell,Ekaterina Gordetskaya,none,95,Adam i Eva
tt30430918,"6,4",none,Letitia Rosculet,Matei Dima,none,90,Tati Part Time
tt30471155,"5,4",none,Frank Cimière,Frank Cimière,none,93,Operation Portugal 2 - La vie de chateau
tt30475098,"7,2",none,Mark Gorobets,Anna Makarenkova,none,111,Tur s Ivanushkami
tt30475191,none,none,Simon Bagdasaryan,Oksana Seropyan,none,none,Postuchis v moyu Tver
tt30475201,none,none,Aleksandr Boguslavskiy,Viktor Bondaryuk,none,none,Vstretimsya vchera
tt30476486,"7,8",none,none,none,none,0,Haikyuu!! La batalla del basurero
tt30478127,"5,4",none,Sunny Chan,Sunny Chan,"Three couples appear to be happy on the surface, but are privately in pain. Their wedding banquets are fraught with misunderstandings, suspicion, resentment and love.",133,Faan hei gong sum 2
tt30486891,"8,8",none,none,none,none,none,Delivery Boy
tt30489972,"7,4",none,none,none,none,116,Aaichya Gavat Marathit Bol
tt30490537,"3,7",none,Hana Hendrychová,Uljana Donátová,none,none,Matka v trapu
tt30493743,"6,5",none,Kawthar Younis,Haitham Dabbour,none,none,Maqsoom
tt30496014,none,none,Sedrick Savoy,Sedrick Savoy,none,none,The Cleaners 2
tt30497082,none,none,none,none,none,none,Beijing jin xing shi
tt30504474,"2,3",none,none,none,none,107,Erdal ile Ece
tt30505337,"5,0",none,Fred Cavayé,Fred Cavayé,none,100,Les chèvres!
tt30517920,"3,4",none,Iura Luncasu,Iura Luncasu,none,109,Complotul Bonelor
tt30583573,"5,2",none,Enes Ates,Enes Ates,none,84,Afacanlar Kampta
tt30590474,none,none,Dhanush,Dhanush,none,none,Nilavuku Enmel Ennadi Kobam
tt30624784,"5,9",none,Bobby Bonifacio Jr.,Juvy Galamiton,none,105,My Zombabe
tt30630937,"8,0",none,Gaja,none,none,none,Online Madhuve Offline Shobana
tt30661504,none,none,Nico Zavelberg,Stefan Retzbach,"When security robots begin attacking the people they're assigned to protect, the crackerjack Troubleshooters team is called in to restore order.",100,Troubleshooters
tt30698096,"6,0",none,Ding-Lin Wang,Chen Bo-lin,none,109,Huan qian
tt30747029,none,none,Brian Lloyd,Sasha Srbulj,none,0,Root for the Wind
tt30760058,none,none,none,none,none,124,Kripya Dhyaan Dein
tt30761716,"9,1",none,none,none,"Investigations of the Sewol Ho incident are undergoing, yet it is difficult to unveil the truth. However, after four years of constant analysis and research, the truth finally appears in front of us.",46,Intention
tt30767447,"6,0",none,JT Wight,Gavin Ward,none,60,Luigi's Mansion
tt30768731,"8,6",none,none,none,"Hip Hop culture is in a crisis! A pioneer of the culture joins forces with a few of rap music's elite performers to attempt to save Hip Hop. Exciting and hilarious, this film also offers relevant social commentary on the state of Hip Hop culture.",90,A Hip Hop Story
tt30768761,"5,5",none,Rina Wu,Rina Wu,A middle-aged man is diagnosed with a brain tumor and has only days to live. He reunites with several others who lived in the family compound decades ago.,107,Mo lu kuang hua qian
tt30769141,"5,2",none,none,none,,155,Jatt Nuu Chudail Takri
tt30777542,"5,6",none,none,none,,0,Shinda Shinda No Papa
tt30783304,"5,5",none,Raffaele Ferrante,Apirat Arrayayan,none,none,Bang Bank
tt30786071,"5,6",none,Thomas Stuber,Die Köbris,none,95,Spuk unterm Riesenrad
tt30787657,none,none,Jon Bass,Jon Bass,none,70,Carole & Grey
tt30788360,"7,4",none,Elza Gauja,Elza Gauja,none,88,Pastkarte no Romas
tt30788442,"4,6",none,Osvaldo Benavides,Osvaldo Benavides,,90,Noche de bodas
tt30790287,none,none,none,none,none,none,none
tt30790735,"5,5",none,Mariya Tikhonova,Aleksey Tikhonov,none,83,Korporatsiya Morozov
tt30790971,"5,7",none,Cosmin Nedelcu,Cosmin Nedelcu,none,87,Klaus & Barroso
tt30791209,"5,8",none,Garik Petrosyan,Marina Antonova,none,90,Avantyura
tt30792969,"7,1",Rihards Romush,Rihards Romush,91,Gandriz Vecpuisis,,
tt30795952,none,none,Christian Le Hémonet,Christian Le Hémonet,none,none,"Stella Mantoni, Il Ritorno"
tt30802419,none,92,Mark Mos,Mark Mos,"Traveling to Detroit for a job interview, a young woman books a rental home. But when she arrives late at night, she discovers that the house is double booked and a strange man is already staying there. Against her better judgement, she decides to spend the evening, but soon discovers that there's a lot more to fear than just an unexpected house guest.",46,Barbarian
tt30468641,none,none,Marwan Albakri,Sultan Al Hubish,none,none,Waraq Enab
tt30470134,none,none,Jason Rosenblatt,Jason Rosenblatt,none,none,Braces 2
tt30470554,none,none,Rick Simone,Rick Simone,A real estate agent (Pablo Puyol) kills little old ladies who refuse to sell their flats.,9,Boystown
tt30486680,none,none,Owen Tooth,Michael Draine,none,1,You Know the Rules
tt30494231,none,none,Janelle Lee Austin,Sohila Abdellatif,"A young professional loses his fiancee in a tragic accident and is haunted by her ghost, who tries to put his life back together.",none,Life Coach
tt30494870,none,none,Lisa Astakhova,Lisa Astakhova,"Despite her father's disapproval, a woman (Sandra Ng) remains with the man (Stephen Chow) that she loves.",17,Love is Love
tt30517715,none,none,Jonathan Williams,Michael Christopher,none,16,Sharks in Colwyn Bay
tt30521391,"7,3",none,Annika Birgel,Annika Birgel,none,16,Porzellan
tt30523657,none,none,Nick Pospisil,Nick Pospisil,"After an offhand wish to a man playing Santa Claus, a woman wakes up to find herself married to her college sweetheart.",none,Family for Christmas
