id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt31383603,"7,7",none,Topu Khan,Delowar Hossain Dil,"Fascinated by a comic-book superhero, a disturbed man (David Bowe) turns to vigilantism to avenge innocent victims.",none,Dark Justice
tt31389203,none,none,Anastasiya Kizieva,none,none,73,Prazdnik
tt31389472,none,none,Paul Wilo,Paul Wilo,none,none,Service to Heart
tt31389684,none,none,S Sagar,Jitendra Kumar Soni,none,none,Bharkhama
tt31389998,"6,4",none,Iar Arondaing,Zsara Laxamana,none,48,Salisihan
tt31390069,none,none,Jason Paul Laxamana,Jason Paul Laxamana,none,90,A Glimpse of Forever
tt31381731,none,none,Uttar Kumar,M.N. Rahi Akela,none,157,Guru Chela
tt31383093,none,none,XD Black,Xolani Dlamini,"Following her husband's murder, a woman uncovers a sinister plot devised by members of a taxi business who wanted him out of the way.",110,Taxi Bosses
tt31391056,"7,4",none,none,none,A man (Rod Taylor) plots with con artists and a mobster's mistress (Britt Ekland) to empty the mobster's Swiss bank account.,122,Hot Spot
tt31391411,none,none,Roderic Tolbert,Roderic Tolbert,none,none,SiNGLEd
tt31391953,none,none,none,none,none,none,Borotvaélen táncolva
tt31392191,none,none,none,none,none,100,Tunis Djerba
tt31392609,"8,4",none,none,none,none,125,How to Make Millions Before Grandma Dies
tt31407169,"4,2",none,Shwan Attoof,Mahir Hasan,none,100,Love in the Time of Corona
tt31408607,"7,8",none,none,none,none,94,Jimmy's Friends
tt31409352,none,none,Toshihiko Tanaka,Tanaka Toshihiko,none,189,Rei
tt31409466,none,none,Possathorn Watcharapanit,none,none,89,Rivulet of Universe
tt31410355,"6,3",none,Lisa Gertsch,Lisa Gertsch,none,80,Electric Fields
tt31411209,none,none,none,none,none,68,Wet Dogs
tt31413828,none,none,Danthony Sharp,Cameron Cottrell,none,83,City Manzions
tt31415332,none,none,Soumojit Adak,Soumojit Adak,none,120,Tilottoma
tt31416506,none,none,Kamal Smith,Shelby Leigh,"A single mother turns to stripping to provide for her daughter, but when she finds love unexpectedly, she is faced with some tough decisions.",92,I'm in Love with A Stripper
tt31415192,none,none,Ingrid Ulst,Tarmo Kruus,none,122,Armastus ja sunnitöö
tt31421328,none,none,none,none,none,none,L'Albero
tt31417614,"6,0",none,Ayez Shaukat Fonseka Farid,Ayez Shaukat Fonseka Farid,none,87,Ngesot
tt31433739,none,none,none,none,A track star (Harrison Butler) seeks help from a therapist (Kevin Kolack) after a hazing incident.,none,False Start
tt31438076,"6,1",none,Phi Tien Son,Doan Quoc Dam,none,100,"Dao, Pho Va Piano"
tt31445029,"6,5",none,Miloslav Luther,Miloslav Luther,none,110,Spiaci ucet
tt31445251,none,none,Thomas Pace,Thomas Pace,none,109,Get Over Yourself
tt31448844,none,none,none,none,none,none,Viata unei singure femei
tt31450653,none,none,Nykear Graham,Nykear Graham,none,0,Miles Morales: A New Hero
tt31452171,none,none,Nils-Erik Ekblom,Nils-Erik Ekblom,none,none,For Boys
tt31456622,none,none,Persefani,Persefani,none,none,Megalo (Or Tragic Comedy Acts of a Gen Z Megalomanaic)
tt31457569,none,none,Melgin Tafirenyika,Mapfumo Katsaya,"A wealthy oil tycoon decides to steal oil from a pipeline running between Honam and Seoul-Busan highway. To carry out this heist, he enlists the help of an experienced drilling engineer and his team.",60,Pipeline
tt31457580,none,none,Ian Charles Lister,Ian Charles Lister,none,76,Lulu in Turin
tt31457736,none,none,Shinsuke Sato,Yasuhisa Hara,none,145,Kingudamu Daishôgun no Kikan
tt31457823,none,none,Helga Landauer,Helga Landauer,none,100,William and Fred
tt31458167,"6,8",none,Carlo Alvarez,Gelo Catamio,"Rebecca is left with no choice but to pick up the pieces of her shattered illusions after discovering her husband's affair with Violeta, who recently died in an accident.",112,Kapalit
tt31451283,"6,1",none,none,none,none,142,Switch Case N
tt31452442,none,none,Mustajabuddin Malik,Mustajabuddin Malik,none,104,God Must Die
tt31455353,none,none,Donie Ordiales,Adam Luff,none,95,Crosspoint
tt31459945,none,none,Thapelo Tabz Motloung,Nunu Domba,"In a chaotic turn, a gang kidnaps a toddler, only to be disrupted by a sudden siren, leaving their comrade fleeing on foot with the child.",110,Tender Baby
tt31462171,"7,2",57,Dhrubo Hasan,Adnan Habib,In 1917 three Portuguese children receive multiple visits from the Virgin Mary.,103,Fatima
tt31462647,none,none,none,none,none,none,The Mid Life
tt31462825,none,none,Anand Bhatt,Anand Bhatt,none,81,Raja 420
tt31462543,none,none,none,none,none,73,Closing Windows.
tt31464877,none,none,Maksud Hossain,Maksud Hossain,none,95,Saba
tt31465673,none,none,Akorede Azeez,Gabriel Odigiri,none,121,It Blooms in June
tt31465689,none,none,Qasim Khan,Qasim Khan,none,none,Daayre
tt31465151,none,none,Sudhish Kumar Sharma,Dhaniram Prajapati,none,none,The Great Sultana
tt30888999,none,none,Matthew Simpson,Matthew Simpson,none,8,Baby Alice
tt30889099,none,none,Christian Stahl,Christian Stahl,none,30,Berlin Blast
tt30890169,none,none,Akwasi Poku,Kieran Kenlock,"A married couple seeks professional help in hopes of fixing their marriage, but things turn as their therapist becomes obsessed with the husband.",none,The Therapist
tt30894008,none,56,none,none,"A decorated Marine goes on a rescue mission to save his two young sons from an unhuman threat. As their journey takes them in increasingly dangerous directions, the boys will need to leave their childhoods behind.",1,Encounter
tt30894419,none,none,Janet Rose Nguyen,Janet Rose Nguyen,none,6,Homecoming
tt30894830,"10,0",none,none,none,none,none,Céleste
tt30895094,"5,0",none,Balder Ljunggren,Balder Ljunggren,none,12,Vrå
tt30905898,none,none,Jóse Blanco,Jóse Blanco,none,35,Polvo de Ángel
tt30910139,none,none,Nadia Larina,Nadia Larina,none,none,We'd do it better
tt30919909,none,none,Ricky Gupta,Ricky Gupta,,25,Outside the Box
tt30923061,none,none,Ricky Gupta,Ricky Gupta,,25,Outside the Box
tt30937777,none,none,Ximena Davis,Ximena Davis,none,none,Eclipse Chasers
tt30948939,none,none,Manhal Aziz,Manhal Aziz,none,none,Allen
tt30949295,"6,2",none,Sokpoly Voeun,Sokpoly Voeun,none,2,My Tasks
tt30949342,"5,9",none,Saman Lotfian,Saman Lotfian,none,19,Coal
tt30953546,none,none,Jonathan Rodrigues,Eduardo Carvalho,none,3,A Inteligência Artificial Contra a Estupidez Natural na Oficina do Diabo
tt30954812,none,none,Nathan Markiewicz,Christian James Durso,none,14,"Olan, TX"
tt30954847,none,none,Joseph De Cross,Joseph De Cross,none,14,Illusion
tt30954919,none,none,Sonja Wolf,Sonja Wolf,none,14,Colateral
tt30954967,none,none,Alina Lee,Alina Lee,The film follows a new mother who discovers a lullaby in an ancient book and soon regards the song as a blessing. But her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.,13,Lullaby
tt30955047,none,none,Xavier Gonz,Xavier Gonz,none,28,El fin de todas las cosas
tt30955379,none,none,Cem Ertunc,Cem Ertunc,none,10,Burn the Film
