id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt10579986,none,none,Rishiking,Rishiking,none,122,Mom's Coming
tt10597228,none,none,Erik Krefeld,Stevie Kinchen,none,90,Love Song and Power
tt11097384,"5,7",50,none,none,"Six months into a solitary research mission to the edge of the solar system, an astronaut, Jakub (Adam Sandler), realizes that the marriage he left behind might not be waiting for him when he returns to Earth. Desperate to fix things with his wife, Lenka (Carey Mulligan), he is helped by a mysterious creature from the beginning of time he finds hiding in the bowels of his ship. Hanuš (voiced by Paul Dano) works with Jakub to make sense of what went wrong before it is too late.",0,El astronauta
tt11152168,"6,5",none,none,0,Amigos imaginarios,,
tt11822244,none,none,Baljit Singh Deo,Rana Ranbir,none,none,Manje Bistre 3
tt12053936,none,none,none,none,none,65,Eternal Oath
tt12255500,none,none,none,none,none,none,Escaping Tomorrow
tt12767592,none,none,Erenik Beqiri,Marija Apcevska,Seven college students become stranded in the company of a shady-looking drifter who may or may not be trying to help.,none,After dark
tt12861438,none,none,Chao-Liang Huang,Yinning Fu,Three surveillance cameras in homes and convenience stores capture the paranormal.,none,Yi dao tian tang
tt13036100,none,none,Neil Mikes,Hazel K.,A Jewish housewife in 1938 Brooklyn loses the use of her legs after reading about Kristallnacht.,0,Broken Glass
tt13433802,"6,8",87,none,none,Experience the day the world went quiet.,0,Un lugar tranquilo: Día 1
tt13561128,none,none,Geoffrey Pheasant,Geoffrey Pheasant,none,85,Three Couples Freed
tt13576680,none,none,Praween Kumar Pandey,RAAHI,none,none,Vo Ladki
tt13695406,none,none,Tez Frost,Tez Frost,none,72,We Don't Say Retard Anymore
tt13818368,"6,2",35,none,none,"Fighter is a Hindi language aerial action thriller, a story of top Indian Air Force (IAF) aviators coming together in the face of imminent danger, to battle the country's internal and external forces. As Militant activities were going out of control, a new unit, Air Dragons was commissioned by the Air Headquarters, as first responders to any hostile activity, comprising of the best combat aviators handpicked from across the Indian Air Force. FIGHTER unfolds the story of Patty and his mate's camaraderie, brotherhood, and going through the highs and lows of their internal and external battles.",0,Fighter
tt13965596,none,0,Bryan James,Bryan James,An innocent teen (Daryl Hannah) gets wild with a motorcycle rebel (Aidan Quinn) from the wrong side of their steel-mill town.,none,Reckless
tt14117392,"7,5",none,Danny Patrick,Danny Patrick,none,none,An Irish Angel
tt14256984,none,none,Juanjo Martínez,Juanjo Martínez,none,none,Una Noche Buena
tt14257662,"6,7",88,none,none,"In a span of eight years, MoviePass went from being the fastest growing subscription service since Spotify to total bankruptcy, losing over $150 million in 2017 alone. MOVIEPASS, MOVIECRASH chronicles the company’s beginnings as an innovative movie ticketing model beloved by cinema goers, exploring the visionary mission of its entrepreneur co-founders, its impressive early successes, and its precipitous downfall caused by mismanagement and corporate greed.",0,Auge y caída de MoviePass
tt14478740,none,none,Anthony J. Dixon,Anthony J. Dixon,Three producers start a cable news station after the election of Donald J. Trump. Influenced by past civil rights struggles the producers are guided by the mystic spirits of children.,0,Rhapsody in Justice
tt14564000,"5,4",none,none,none,An underworld kingpin falls in love with a journalist.,0,Guntur Kaaram
tt14643262,none,none,none,none,none,none,none
tt14866430,none,none,Dia Taylor,Daniel Bugeja,"Living in different cities, four young people (Jordan Calloway, Lindsey Morgan, Ana Coto) maintain online friendships.",none,Disconnected
tt14904970,none,none,Guillermo Vejar,Guillermo Vejar,none,90,La Puerta Verde
tt14978566,none,none,Bowen Munsil,Bowen Munsil,none,none,The Hippie Who Came to Roam
tt15005992,none,none,none,none,none,none,none
tt15239678,"8,6",92,none,none,"""Dune: Part Two"" will explore the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, he endeavors to prevent a terrible future only he can foresee.",0,Dune: Parte dos
tt15427838,none,31,none,none,"An exclusive invite to experience the uncensored raw energy and behind-the-scenes reality of one of hip hop's most exciting and historic multi-artist tours: the star-studded 1999 Hard Knock Life Tour fearing headliners Jay-Z and DMX along with Method Man, Redman, Ja Rule and Beanie Sigel, as well as rap's blazing femme fatale, Amil. This is an eye-opening inside look at backstage life on the hip-hop road.",none,Backstage
tt15535164,none,none,none,none,none,none,none
tt15572712,none,none,Ravi,Ravi,none,none,Foreign scotch
tt1592253,none,none,none,none,Dante (Graham McTavish) must battle demons and monsters to save his beloved Beatrice (Vanessa Branch) from Lucifer.,111,Dante's Inferno
tt2368853,none,none,none,none,none,0,Sides
tt4392566,none,none,Bill Jacobs,Bill Jacobs,none,none,When the Moon Was Twice as Big
tt4601194,none,none,Ken Sibanda,Ken Sibanda,none,none,Reparations in America
tt5834410,"5,7",53,none,none,"Tom Lee discovers he's part of a long lineage of magical protectors known as the Guardians. With guidance from a mythical tiger and other animal warriors, he trains to take on an evil force that threatens humanity.",0,El aprendiz de tigre
tt6398614,none,none,Guy Mayfield,Guy Mayfield,none,70,Folded in Grey
