id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt29453957,none,none,none,none,"Victoria, a Christian advice columnist writing under the name Faith, begins to lose her faith after a series of life events. On her journey back to God, she finds her way back to love as well.",none,none
tt29478506,none,none,Cheyenne Carron,Cheyenne Carron,none,108,Que notre joie demeure
tt28862483,none,none,Reinis Ubelis,Reinis Ubelis,none,77,Dragoons
tt29481454,none,none,Tatiana Becquet Genel,Tatiana Becquet Genel,none,none,3EME OEIL
tt29486067,"8,1",none,none,none,"(CC) Former NBA star Tony Greene is a depressed alcoholic whose wife was violently murdered. After getting a DUI, he begins coaching a women's college basketball team.",none,Finding Tony
tt29497194,none,none,Felicia Rivers,Tamara Butler,none,none,How 2 Catch A Baller
tt29506334,"5,0",none,Ömer Faruk Yardimci,Ilter Aykac,none,138,Hatiran Yeter
tt29519507,"6,3",Ilya Malanin,Roman Kantor,103,Nenormalnyy,,
tt29521687,"6,8",none,Pascal Bonitzer,Pascal Bonitzer,"André Masson, an auctioneer at the famous Scottie's auction house, receives a letter one day stating that a painting by Egon Schiele has been discovered in Mulhouse at the home of a young worker. Very skeptical, he makes the trip and has to face the truth: the painting is authentic, a masterpiece gone missing since 1939, confiscated by the Nazis. André sees this discovery as the pinnacle of his career, but also the beginning of a struggle that could jeopardize it. Fortunately, he will be assisted by his ex-wife and colleague Bertina, and by his eccentric intern Aurore....",91,Le tableau volé
tt29522764,none,none,none,none,none,none,none
tt29533430,"3,8",none,Felicia Rivers,Jawanza Brown,A group of friends holds a reunion to remember the life of a childhood friend who passed away 10 years prior.,none,No New Friends
tt29538571,"5,7",none,none,none,none,0,60 minutos
tt29547063,none,none,Dianna Renée,Alikona Shizue Bradford,none,60,Lost and Found
tt29567033,none,none,none,none,none,75,Greetings from Arizona
tt29578220,"8,7",none,none,none,"Andrew Scott (Fleabag) brings multiple characters to life in Simon Stephens' (The Curious Incident of the Dog in the Night-Time) radical new version of Chekhov's Uncle Vanya. Hopes, dreams, and regrets are thrust into sharp focus in this one-man adaptation which explores the complexities of human emotions.",100,National Theatre Live: Vanya
tt29605355,none,none,none,none,"Three women (Eleanor Parker, Patricia Neal, Ruth Roman) await the rescue of a boy whom each thinks is her son.",none,Three Secrets
tt29615171,"7,7",none,none,none,none,123,Ittaa Kittaa
tt29643961,none,100,none,none,"Archival footage charts the humble beginnings of groundbreaking New York professional surfer Balaram Stack, from the beaches of Long Island to world champion, and his mother's unending support that helped him realize his dream.",none,Hail Mary
tt29667653,none,none,Jay Alexander,Jay Alexander,"After a successful robbery, two men become sworn enemies when an act of betrayal escalates into a series of violence, kidnapping, and murder.",133,Runnin' from Wolves
tt29685010,"7,9",none,Aleksandr Danilov,Anna Karakova,none,95,Moy lyubimyy chempion
tt29687204,none,Kaladharan,Pradeep Panicker,none,Kaalamundan,,
tt29722855,"5,9",68,none,none,"Years after Seoul turns into an apocalyptic wasteland, a tough huntsman takes matters into his own hands when a teenager he's close to is abducted by a mad doctor who conducts experiments on humans.",0,Cazadores en tierra inhóspita
tt29723724,"7,1",none,Jos Stelling,Jos Stelling,none,102,De Dans van Natasja
tt29793197,"7,6",none,Dani de la Orden,Eduard Sola,none,0,Casa en llamas
