,type,name,release_year,release_month,id_imdb,genre
0,Movie,Multiverso,2024,11,tt10225380,Action
1,Movie,Detour 95,2024,10,tt10844184,Action
2,Movie,The Legend of Johnny Jones,2024,10,tt10928904,Action
3,Movie,Slasher House 3,2024,3,tt11078340,Action
4,Movie,Clank and the Golden Scar,2024,10,tt11374514,Action
5,Movie,Furiosa: A Mad Max Saga,2024,5,tt12037194,Action
6,Movie,Danya,2024,,tt12529250,Action
7,Movie,Adrienne,2024,,tt13143064,Action
8,Movie,Hitpig,2024,,tt13176330,Action
9,Movie,Mnemonix,2024,12,tt13590374,Action
10,Movie,Fighter,2024,1,tt13818368,Action
11,Movie,L'Inferno (Remastered),2024,9,tt14114688,Action
12,Movie,Guntur Kaaram,2024,1,tt14564000,Action
13,Movie,Argylle - Tajny szpieg,2024,2,tt15009428,Action
14,Movie,Nothing Unusual,2024,10,tt15127142,Action
15,Movie,Dune: Part Two,2024,3,tt15239678,Action
16,Movie,Sunset Shimmer and the Acidic Universe of Makori,2024,12,tt15535164,Action
17,Movie,Superman: Jubilation,2024,5,tt15661136,Action
18,Movie,Jessica Frost,2024,9,tt4519000,Action
19,Movie,Residence,2024,8,tt5260932,Action
20,Movie,The Tiger's Apprentice,2024,2,tt5834410,Action
21,Movie,Kraven the Hunter,2024,12,tt8790086,Action
22,Movie,Occult Squad,2024,8,tt9633926,Action
23,Movie,Rigged,2024,,tt16401200,Action
24,Movie,Trail Blazers: The Aftermath (Part 1),2024,,tt15716012,Action
25,Movie,Yodha,2024,3,tt16139258,Action
26,Movie,Sheran Di Kaum Punjabi,2024,4,tt16867258,Action
27,Movie,Dying for Living,2024,12,tt17074300,Action
28,Movie,Dead Heist,2024,10,tt17506650,Action
29,Movie,Bade Miyan Chote Miyan,2024,4,tt18072316,Action
30,Movie,Luna in Love,2024,11,tt18340690,Action
31,Movie,The Last Aztec Warrior,2024,5,tt19892640,Action
32,Movie,Kung Fu Panda 4,2024,3,tt21692408,Action
33,Movie,Lal Salaam,2024,2,tt23461428,Action
34,Movie,Karate Kid,2024,6,tt22084516,Action
35,Movie,Agent Narasimha-117,2024,1,tt24948640,Action
36,Movie,The Count of Monte-Cristo,2024,6,tt26446278,Action
37,Movie,The Dark Face,2024,8,tt26685948,Action
38,Movie,Dark Fusion,2024,6,tt27124438,Action
39,Movie,The Experts,2024,5,tt27162200,Action
40,Movie,Blood Pressure,2024,2,tt27168272,Action
41,Movie,Cheese,2024,none,tt27261550,Action
42,Movie,Diamonds and Pearls,2024,1,tt27439361,Action
43,Movie,Pedro Marquez Y la Ines Una Pareja Implacable Los de la Camioneta Gris,2024,1,tt27451262,Action
44,Movie,Sneham,2024,1,tt27478261,Action
45,Movie,Mandya,2024,5,tt27530836,Action
46,Movie,Terminator: Skynet Rising,2024,11,tt27534073,Action
47,Movie,Pimpin Aint Dead Movie,2024,1,tt27601821,Action
48,Movie,Lothorin,2024,7,tt27607129,Action
49,Movie,Rogue Countdown,2024,none,tt27617606,Action
50,Movie,Danger,2024,,tt27625837,Action
51,Movie,Kamen Rider 555 20th: Paradise Regained,2024,2,tt27679654,Action
52,Movie,Lothorin,2024,,tt27814598,Action
53,Movie,Insurgency,2024,,tt27819748,Action
54,Movie,Maybe I Am the Villain,2024,,tt27850011,Action
55,Movie,Chiller,2024,1,tt27895391,Action
56,Movie,Eagle,2024,2,tt28074691,Action
57,Movie,Take Cover,2024,,tt28129054,Action
58,Movie,Final Jeopardy,2024,,tt28208813,Action
59,Movie,Bastar: The Naxal Story,2024,3,tt28221135,Action
60,Movie,Bélico,2024,1,tt28247357,Action
61,Movie,Sith Wars: Episódio III - Fantasmas Dos Sith,2024,12,tt28259467,Action
62,Movie,Rode College,2024,6,tt28350704,Action
63,Movie,Hyena,2024,1,tt28448904,Action
64,Movie,Sheriff: Narko Integriti,2024,4,tt28547912,Action
65,Movie,Sith Wars: Episódio III - Fantasmas Dos Sith,2024,12,tt28642613,Action
66,Movie,Beast from the coffin,2024,11,tt28651600,Action
67,Movie,Killer - The Hunt,2024,7,tt28677683,Action
68,Movie,Gull Lake Vice II: The Delusion Continues,2024,6,tt28743123,Action
69,Movie,Super Vixens 6,2024,1,tt28799527,Action
70,Movie,Gaddar,2024,10,tt28900391,Action
71,Movie,Komandir,2024,2,tt28940336,Action
72,Movie,Zoloto Umalty,2024,4,tt28940477,Action
73,Movie,Continental Split,2024,6,tt29001732,Action
74,Movie,The Crimson Knights,2024,,tt29099328,Action
75,Movie,Chhota Bheem and the Curse of Damyaan,2024,5,tt29114624,Action
76,Movie,EP Break the Multiverse,2024,,tt29117986,Action
77,Movie,Razakar: The Silent Genocide of Hyderabad,2024,4,tt29224742,Action
78,Movie,A Bacon's War,2024,none,tt29354785,Action
79,Movie,SPG,2024,3,tt29426373,Action
80,Movie,Finding Faith,2024,8,tt29453957,Action
81,Movie,Urban Vengeance,2024,4,tt29488411,Action
82,Movie,Soixante minutes,2024,1,tt29538571,Action
83,Movie,Crack: Back in Da Hood,2024,1,tt29632883,Action
84,Movie,Runnin' from Wolves,2024,2,tt29667653,Action
85,Movie,Irani,2024,2,tt29710257,Action
86,Movie,Badland Hunters,2024,1,tt29722855,Action
87,Movie,Halloween: Mal Eterno,2024,10,tt29729330,Action
88,Movie,Tokusou Sentai Dekaranger 20th: Fireball Booster,2024,6,tt29742220,Action
89,Movie,Smoke,2024,2,tt29873265,Action
90,Movie,Kamen Rider Geats: Jyamato Awaking,2024,3,tt29923411,Action
91,Movie,She's God: The Book of Eden,2024,6,tt29940825,Action
92,Movie,Blue Alliance,2024,3,tt29952065,Action
93,Movie,The End of Roblox City,2024,11,tt29961199,Action
94,Movie,Mangampeta,2024,4,tt30048388,Action
95,Movie,Ultraman Blazar the Movie: Tokyo Kaiju Showdown,2024,2,tt30107378,Action
96,Movie,The 9th Raider,2024,3,tt30131675,Action
97,Movie,Tranquility: Ghost Stories,2024,1,tt30248546,Action
98,Movie,Pendekar Awang: Darah Indera Gajah,2024,1,tt30253785,Action
99,Movie,StarGazer: The Need of the Many,2024,1,tt30260415,Action
100,Movie,Batman: Across the Super-Verse,2024,9,tt30270137,Action
101,Movie,Sounds Like A Great Project!,2024,5,tt30275493,Action
102,Movie,Citizen of a Kind,2024,1,tt30364726,Action
103,Movie,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024,2,tt30395619,Action
104,Movie,The Crypto: Dark Justice,2024,11,tt30396321,Action
105,Movie,Lothorin: Part Two,2024,12,tt30399520,Action
106,Movie,Toofan,2024,6,tt30415138,Action
107,Movie,Posledniy ronin,2024,12,tt30425001,Action
108,Movie,Cacophony the Animated Movie,2024,12,tt30446975,Action
109,Movie,Rebellion: War Across Nations,2024,5,tt30470734,Action
110,Movie,Operation Baraat,2024,4,tt30485382,Action
111,Movie,The Magnetic Fighters,2024,11,tt30476573,Action
112,Movie,The Crypto: Beyond,2024,10,tt30609082,Action
113,Movie,Troubleshooters,2024,10,tt30661504,Action
114,Movie,Huan qian,2024,2,tt30698096,Action
115,Movie,Jorge da Capadócia,2024,4,tt30768673,Action
116,Movie,Pariah Volume 1: Every Street Dog Has a Name,2024,2,tt30777379,Action
117,Movie,Boyz,2024,1,tt30808927,Action
